surface	surface_slp1	depth	freq	band	members	members_ru	ladder_tails	rungs_json
dharmajñaḥ	DarmajYaH	2	52	частые	dharma|jña	дхарма|знаю	jña|dharma-jña	"[{""step"": 1, ""member"": ""jña"", ""ru"": ""знаю"", ""ru_variants"": [""знаю"", ""знающий"", ""знает""], ""tail"": ""jña"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""dharma"", ""ru"": ""дхарма"", ""ru_variants"": [""дхарма"", ""дхармы"", ""закон""], ""tail"": ""dharma-jña"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
dharmarājaḥ	DarmarAjaH	2	52	частые	dharma|rāja	дхарма|царь	rāja|dharma-rāja	"[{""step"": 1, ""member"": ""rāja"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""Царь""], ""tail"": ""rāja"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""dharma"", ""ru"": ""дхарма"", ""ru_variants"": [""дхарма"", ""дхармы"", ""закон""], ""tail"": ""dharma-rāja"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
somapītaye	somapItaye	2	52	частые	soma|pīti	сома|для питья	pīti|soma-pīti	"[{""step"": 1, ""member"": ""pīti"", ""ru"": ""для питья"", ""ru_variants"": [""для питья"", ""Для питья"", ""питье""], ""tail"": ""pīti"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""soma"", ""ru"": ""сома"", ""ru_variants"": [""сома"", ""Сома"", ""сому""], ""tail"": ""soma-pīti"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
bhūtātmā	BUtAtmA	2	51	частые	bhūta|ātman	существа|себя	ātman|bhūta-ātman	"[{""step"": 1, ""member"": ""ātman"", ""ru"": ""себя"", ""ru_variants"": [""себя"", ""Атман"", ""Атмана""], ""tail"": ""ātman"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""bhūta"", ""ru"": ""существа"", ""ru_variants"": [""существа"", ""существ"", ""существах""], ""tail"": ""bhūta-ātman"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
kṛṣṇapakṣe	kfzRapakze	2	51	частые	kṛṣṇa|pakṣa	Кришна|крылья	pakṣa|kṛṣṇa-pakṣa	"[{""step"": 1, ""member"": ""pakṣa"", ""ru"": ""крылья"", ""ru_variants"": [""крылья"", ""тезис"", ""крыльями""], ""tail"": ""pakṣa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""kṛṣṇa"", ""ru"": ""Кришна"", ""ru_variants"": [""Кришна"", ""Кришны"", ""Кришне""], ""tail"": ""kṛṣṇa-pakṣa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahāvīryaḥ	mahAvIryaH	2	51	частые	mahat|vīrya	великий|доблесть	vīrya|mahat-vīrya	"[{""step"": 1, ""member"": ""vīrya"", ""ru"": ""доблесть"", ""ru_variants"": [""доблесть"", ""сила"", ""мужество""], ""tail"": ""vīrya"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-vīrya"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
yugakṣaye	yugakzaye	2	51	частые	yuga|kṣaya	юги|гибель	kṣaya|yuga-kṣaya	"[{""step"": 1, ""member"": ""kṣaya"", ""ru"": ""гибель"", ""ru_variants"": [""гибель"", ""гибели"", ""жилище""], ""tail"": ""kṣaya"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""yuga"", ""ru"": ""юги"", ""ru_variants"": [""юги"", ""поколения"", ""юга""], ""tail"": ""yuga-kṣaya"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
ghorarūpaṁ	GorarUpaṁ	2	50	частые	ghora|rūpa	страшный|образ	rūpa|ghora-rūpa	"[{""step"": 1, ""member"": ""rūpa"", ""ru"": ""образ"", ""ru_variants"": [""образ"", ""облик"", ""формы""], ""tail"": ""rūpa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""ghora"", ""ru"": ""страшный"", ""ru_variants"": [""страшный"", ""ужасный"", ""страшное""], ""tail"": ""ghora-rūpa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahāsattvasya	mahAsattvasya	2	50	частые	mahat|sattva	великий|саттва	sattva|mahat-sattva	"[{""step"": 1, ""member"": ""sattva"", ""ru"": ""саттва"", ""ru_variants"": [""саттва"", ""существо"", ""благость""], ""tail"": ""sattva"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-sattva"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rathopasthe	raTopasTe	2	50	частые	ratha|upastha	колесницу|в лоне	upastha|ratha-upastha	"[{""step"": 1, ""member"": ""upastha"", ""ru"": ""в лоне"", ""ru_variants"": [""в лоне"", ""лоне"", ""лоно""], ""tail"": ""upastha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""ratha"", ""ru"": ""колесницу"", ""ru_variants"": [""колесницу"", ""колесница"", ""колесницы""], ""tail"": ""ratha-upastha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
dharmajño	DarmajYo	2	49	частые	dharma|jña	дхарма|знаю	jña|dharma-jña	"[{""step"": 1, ""member"": ""jña"", ""ru"": ""знаю"", ""ru_variants"": [""знаю"", ""знающий"", ""знает""], ""tail"": ""jña"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""dharma"", ""ru"": ""дхарма"", ""ru_variants"": [""дхарма"", ""дхармы"", ""закон""], ""tail"": ""dharma-jña"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
dharmarājena	DarmarAjena	2	49	частые	dharma|rāja	дхарма|царь	rāja|dharma-rāja	"[{""step"": 1, ""member"": ""rāja"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""Царь""], ""tail"": ""rāja"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""dharma"", ""ru"": ""дхарма"", ""ru_variants"": [""дхарма"", ""дхармы"", ""закон""], ""tail"": ""dharma-rāja"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
dhānyarāśau	DAnyarASO	2	49	частые	dhānya|rāśi	зерно|груды	rāśi|dhānya-rāśi	"[{""step"": 1, ""member"": ""rāśi"", ""ru"": ""груды"", ""ru_variants"": [""груды"", ""куча"", ""груда""], ""tail"": ""rāśi"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""dhānya"", ""ru"": ""зерно"", ""ru_variants"": [""зерно"", ""зерна"", ""зерном""], ""tail"": ""dhānya-rāśi"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahāphalam	mahAPalam	2	49	частые	mahat|phala	великий|плод	phala|mahat-phala	"[{""step"": 1, ""member"": ""phala"", ""ru"": ""плод"", ""ru_variants"": [""плод"", ""плоды"", ""плодами""], ""tail"": ""phala"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-phala"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rudralokaṁ	rudralokaṁ	2	49	частые	rudra|loka	Рудра|мир	loka|rudra-loka	"[{""step"": 1, ""member"": ""loka"", ""ru"": ""мир"", ""ru_variants"": [""мир"", ""миры"", ""мире""], ""tail"": ""loka"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rudra"", ""ru"": ""Рудра"", ""ru_variants"": [""Рудра"", ""Рудры"", ""Рудре""], ""tail"": ""rudra-loka"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
satyavādinaḥ	satyavAdinaH	2	49	частые	satya|vādin	правду|говорящие	vādin|satya-vādin	"[{""step"": 1, ""member"": ""vādin"", ""ru"": ""говорящие"", ""ru_variants"": [""говорящие"", ""говорят"", ""говорящему""], ""tail"": ""vādin"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""satya"", ""ru"": ""правду"", ""ru_variants"": [""правду"", ""истина"", ""правда""], ""tail"": ""satya-vādin"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
devadeveśa	devadeveSa	2	48	частые	deva|deveśa	боги|владыка богов	deveśa|deva-deveśa	"[{""step"": 1, ""member"": ""deveśa"", ""ru"": ""владыка богов"", ""ru_variants"": [""владыка богов"", ""Владыка богов"", ""Владыка""], ""tail"": ""deveśa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""deva"", ""ru"": ""боги"", ""ru_variants"": [""боги"", ""богов"", ""бог""], ""tail"": ""deva-deveśa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
devadeveśa	devadeveSa	2	48	частые	devadeva|īśa	бог богов|владыка	īśa|devadeva-īśa	"[{""step"": 1, ""member"": ""īśa"", ""ru"": ""владыка"", ""ru_variants"": [""владыка"", ""владыку"", ""Владыка""], ""tail"": ""īśa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""devadeva"", ""ru"": ""бог богов"", ""ru_variants"": [""бог богов"", ""Бог богов"", ""Бога богов""], ""tail"": ""devadeva-īśa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahābala	mahAbala	2	48	частые	mahat|bala	великий|войско	bala|mahat-bala	"[{""step"": 1, ""member"": ""bala"", ""ru"": ""войско"", ""ru_variants"": [""войско"", ""сила"", ""силой""], ""tail"": ""bala"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-bala"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahānadī	mahAnadI	2	48	частые	mahat|nadī	великий|реки	nadī|mahat-nadī	"[{""step"": 1, ""member"": ""nadī"", ""ru"": ""реки"", ""ru_variants"": [""реки"", ""река"", ""реку""], ""tail"": ""nadī"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-nadī"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
prāṇāpānau	prARApAnO	2	48	частые	prāṇa|apāna	дыхание|апана	apāna|prāṇa-apāna	"[{""step"": 1, ""member"": ""apāna"", ""ru"": ""апана"", ""ru_variants"": [""апана"", ""дыхание, идущее вниз"", ""выдох""], ""tail"": ""apāna"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""prāṇa"", ""ru"": ""дыхание"", ""ru_variants"": [""дыхание"", ""жизнь"", ""жизни""], ""tail"": ""prāṇa-apāna"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sūtaputraṁ	sUtaputraṁ	2	48	частые	sūta|putra	сута|сын	putra|sūta-putra	"[{""step"": 1, ""member"": ""putra"", ""ru"": ""сын"", ""ru_variants"": [""сын"", ""сына"", ""сыновей""], ""tail"": ""putra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sūta"", ""ru"": ""сута"", ""ru_variants"": [""сута"", ""возница"", ""возницу""], ""tail"": ""sūta-putra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sūtaputro	sUtaputro	2	48	частые	sūta|putra	сута|сын	putra|sūta-putra	"[{""step"": 1, ""member"": ""putra"", ""ru"": ""сын"", ""ru_variants"": [""сын"", ""сына"", ""сыновей""], ""tail"": ""putra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sūta"", ""ru"": ""сута"", ""ru_variants"": [""сута"", ""возница"", ""возницу""], ""tail"": ""sūta-putra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
śastrabhṛtāṁ	SastraBftAṁ	2	48	частые	śastra|bhṛt	оружие|Лучшему	bhṛt|śastra-bhṛt	"[{""step"": 1, ""member"": ""bhṛt"", ""ru"": ""Лучшему"", ""ru_variants"": [""Лучшему"", ""имеющий"", ""людские""], ""tail"": ""bhṛt"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""śastra"", ""ru"": ""оружие"", ""ru_variants"": [""оружие"", ""оружием"", ""оружия""], ""tail"": ""śastra-bhṛt"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
maharṣe	maharze	2	47	частые	mahat|ṛṣi	великий|риши	ṛṣi|mahat-ṛṣi	"[{""step"": 1, ""member"": ""ṛṣi"", ""ru"": ""риши"", ""ru_variants"": [""риши"", ""мудрец"", ""мудрецы""], ""tail"": ""ṛṣi"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-ṛṣi"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
maharṣiṇā	maharziRA	2	47	частые	mahat|ṛṣi	великий|риши	ṛṣi|mahat-ṛṣi	"[{""step"": 1, ""member"": ""ṛṣi"", ""ru"": ""риши"", ""ru_variants"": [""риши"", ""мудрец"", ""мудрецы""], ""tail"": ""ṛṣi"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-ṛṣi"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
maheṣvāsāḥ	mahezvAsAH	2	47	частые	mahat|iṣvāsa	великий|стрелком из лука	iṣvāsa|mahat-iṣvāsa	"[{""step"": 1, ""member"": ""iṣvāsa"", ""ru"": ""стрелком из лука"", ""ru_variants"": [""стрелком из лука"", ""стрелок из лука"", ""лук""], ""tail"": ""iṣvāsa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-iṣvāsa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahāsattva	mahAsattva	2	47	частые	mahat|sattva	великий|саттва	sattva|mahat-sattva	"[{""step"": 1, ""member"": ""sattva"", ""ru"": ""саттва"", ""ru_variants"": [""саттва"", ""существо"", ""благость""], ""tail"": ""sattva"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-sattva"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
varārohā	varArohA	2	47	частые	vara|āroha	лучший|погонщиками	āroha|vara-āroha	"[{""step"": 1, ""member"": ""āroha"", ""ru"": ""погонщиками"", ""ru_variants"": [""погонщиками"", ""поднялся"", ""в езде верхом""], ""tail"": ""āroha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""vara"", ""ru"": ""лучший"", ""ru_variants"": [""лучший"", ""дар"", ""наилучший""], ""tail"": ""vara-āroha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
śatasahasrāṇi	SatasahasrARi	2	47	частые	śata|sahasra	сто|тысяч	sahasra|śata-sahasra	"[{""step"": 1, ""member"": ""sahasra"", ""ru"": ""тысяч"", ""ru_variants"": [""тысяч"", ""тысячи"", ""тысячу""], ""tail"": ""sahasra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""śata"", ""ru"": ""сто"", ""ru_variants"": [""сто"", ""сотню"", ""сотни""], ""tail"": ""śata-sahasra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
maharṣer	maharzer	2	46	частые	mahat|ṛṣi	великий|риши	ṛṣi|mahat-ṛṣi	"[{""step"": 1, ""member"": ""ṛṣi"", ""ru"": ""риши"", ""ru_variants"": [""риши"", ""мудрец"", ""мудрецы""], ""tail"": ""ṛṣi"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-ṛṣi"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
gokarṇe	gokarRe	2	45	частые	go|karṇa	коров|Карна	karṇa|go-karṇa	"[{""step"": 1, ""member"": ""karṇa"", ""ru"": ""Карна"", ""ru_variants"": [""Карна"", ""Карну"", ""Карны""], ""tail"": ""karṇa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""go"", ""ru"": ""коров"", ""ru_variants"": [""коров"", ""коровы"", ""корову""], ""tail"": ""go-karṇa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
gomayaṁ	gomayaṁ	2	45	частые	go|maya	коров|Майя	maya|go-maya	"[{""step"": 1, ""member"": ""maya"", ""ru"": ""Майя"", ""ru_variants"": [""Майя"", ""мною"", ""Майей""], ""tail"": ""maya"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""go"", ""ru"": ""коров"", ""ru_variants"": [""коров"", ""коровы"", ""корову""], ""tail"": ""go-maya"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
puṇyaphalaṁ	puRyaPalaṁ	2	45	частые	puṇya|phala	святая|плод	phala|puṇya-phala	"[{""step"": 1, ""member"": ""phala"", ""ru"": ""плод"", ""ru_variants"": [""плод"", ""плоды"", ""плодами""], ""tail"": ""phala"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""puṇya"", ""ru"": ""святая"", ""ru_variants"": [""святая"", ""святые"", ""святой""], ""tail"": ""puṇya-phala"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sahasrākṣaḥ	sahasrAkzaH	2	45	частые	sahasra|akṣa	тысяч|кости	akṣa|sahasra-akṣa	"[{""step"": 1, ""member"": ""akṣa"", ""ru"": ""кости"", ""ru_variants"": [""кости"", ""ось"", ""игральные кости""], ""tail"": ""akṣa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sahasra"", ""ru"": ""тысяч"", ""ru_variants"": [""тысяч"", ""тысячи"", ""тысячу""], ""tail"": ""sahasra-akṣa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sūkṣmacūrṇaṁ	sUkzmacUrRaṁ	2	45	частые	sūkṣma|cūrṇa	тонкие|порошками	cūrṇa|sūkṣma-cūrṇa	"[{""step"": 1, ""member"": ""cūrṇa"", ""ru"": ""порошками"", ""ru_variants"": [""порошками"", ""порошков"", ""порошком""], ""tail"": ""cūrṇa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sūkṣma"", ""ru"": ""тонкие"", ""ru_variants"": [""тонкие"", ""тонкий"", ""тонкое""], ""tail"": ""sūkṣma-cūrṇa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
sūtaputreṇa	sUtaputreRa	2	45	частые	sūta|putra	сута|сын	putra|sūta-putra	"[{""step"": 1, ""member"": ""putra"", ""ru"": ""сын"", ""ru_variants"": [""сын"", ""сына"", ""сыновей""], ""tail"": ""putra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""sūta"", ""ru"": ""сута"", ""ru_variants"": [""сута"", ""возница"", ""возницу""], ""tail"": ""sūta-putra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
muniśreṣṭha	muniSrezWa	2	44	частые	muni|śreṣṭha	мудрец|лучший	śreṣṭha|muni-śreṣṭha	"[{""step"": 1, ""member"": ""śreṣṭha"", ""ru"": ""лучший"", ""ru_variants"": [""лучший"", ""наилучший"", ""лучшее""], ""tail"": ""śreṣṭha"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""muni"", ""ru"": ""мудрец"", ""ru_variants"": [""мудрец"", ""отшельник"", ""мудрецы""], ""tail"": ""muni-śreṣṭha"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
śarajālena	SarajAlena	2	44	частые	śara|jāla	стрелами|сеть	jāla|śara-jāla	"[{""step"": 1, ""member"": ""jāla"", ""ru"": ""сеть"", ""ru_variants"": [""сеть"", ""сетью"", ""сетями""], ""tail"": ""jāla"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""śara"", ""ru"": ""стрелами"", ""ru_variants"": [""стрелами"", ""стрелы"", ""стрел""], ""tail"": ""śara-jāla"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
śuklapakṣe	Suklapakze	2	44	частые	śukla|pakṣa	белый|крылья	pakṣa|śukla-pakṣa	"[{""step"": 1, ""member"": ""pakṣa"", ""ru"": ""крылья"", ""ru_variants"": [""крылья"", ""тезис"", ""крыльями""], ""tail"": ""pakṣa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""śukla"", ""ru"": ""белый"", ""ru_variants"": [""белый"", ""белым"", ""светлый""], ""tail"": ""śukla-pakṣa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
devarājasya	devarAjasya	2	43	частые	deva|rāja	боги|царь	rāja|deva-rāja	"[{""step"": 1, ""member"": ""rāja"", ""ru"": ""царь"", ""ru_variants"": [""царь"", ""царя"", ""Царь""], ""tail"": ""rāja"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""deva"", ""ru"": ""боги"", ""ru_variants"": [""боги"", ""богов"", ""бог""], ""tail"": ""deva-rāja"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
kalpānte	kalpAnte	2	43	частые	kalpa|anta	Кальпа|конец	anta|kalpa-anta	"[{""step"": 1, ""member"": ""anta"", ""ru"": ""конец"", ""ru_variants"": [""конец"", ""конца"", ""внутри""], ""tail"": ""anta"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""kalpa"", ""ru"": ""Кальпа"", ""ru_variants"": [""Кальпа"", ""кальпа"", ""подобный""], ""tail"": ""kalpa-anta"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
kulaputra	kulaputra	2	43	частые	kula|putra	род|сын	putra|kula-putra	"[{""step"": 1, ""member"": ""putra"", ""ru"": ""сын"", ""ru_variants"": [""сын"", ""сына"", ""сыновей""], ""tail"": ""putra"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""kula"", ""ru"": ""род"", ""ru_variants"": [""род"", ""рода"", ""роду""], ""tail"": ""kula-putra"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
kuśalamūlena	kuSalamUlena	2	43	частые	kuśala|mūla	искусен|корень	mūla|kuśala-mūla	"[{""step"": 1, ""member"": ""mūla"", ""ru"": ""корень"", ""ru_variants"": [""корень"", ""коренья"", ""кореньями""], ""tail"": ""mūla"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""kuśala"", ""ru"": ""искусен"", ""ru_variants"": [""искусен"", ""благополучии"", ""здоровье""], ""tail"": ""kuśala-mūla"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
maheṣvāsā	mahezvAsA	2	43	частые	mahat|iṣvāsa	великий|стрелком из лука	iṣvāsa|mahat-iṣvāsa	"[{""step"": 1, ""member"": ""iṣvāsa"", ""ru"": ""стрелком из лука"", ""ru_variants"": [""стрелком из лука"", ""стрелок из лука"", ""лук""], ""tail"": ""iṣvāsa"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-iṣvāsa"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahāprājñaḥ	mahAprAjYaH	2	43	частые	mahat|prājña	великий|мудрый	prājña|mahat-prājña	"[{""step"": 1, ""member"": ""prājña"", ""ru"": ""мудрый"", ""ru_variants"": [""мудрый"", ""мудрые"", ""мудр""], ""tail"": ""prājña"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-prājña"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
rasakarmaṇi	rasakarmaRi	2	43	частые	rasa|karman	вкус|действия	karman|rasa-karman	"[{""step"": 1, ""member"": ""karman"", ""ru"": ""действия"", ""ru_variants"": [""действия"", ""деяния"", ""действие""], ""tail"": ""karman"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""rasa"", ""ru"": ""вкус"", ""ru_variants"": [""вкус"", ""сок"", ""сущность""], ""tail"": ""rasa-karman"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
śivaloke	Sivaloke	2	43	частые	śiva|loka	Шива|мир	loka|śiva-loka	"[{""step"": 1, ""member"": ""loka"", ""ru"": ""мир"", ""ru_variants"": [""мир"", ""миры"", ""мире""], ""tail"": ""loka"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""śiva"", ""ru"": ""Шива"", ""ru_variants"": [""Шива"", ""Шивы"", ""милостивы""], ""tail"": ""śiva-loka"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
duḥkhārtā	duHKArtA	2	42	частые	duḥkha|ārta	горе|страждущий	ārta|duḥkha-ārta	"[{""step"": 1, ""member"": ""ārta"", ""ru"": ""страждущий"", ""ru_variants"": [""страждущий"", ""страдающие"", ""страдая""], ""tail"": ""ārta"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""duḥkha"", ""ru"": ""горе"", ""ru_variants"": [""горе"", ""страдание"", ""страдания""], ""tail"": ""duḥkha-ārta"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
mahābalā	mahAbalA	2	42	частые	mahat|bala	великий|войско	bala|mahat-bala	"[{""step"": 1, ""member"": ""bala"", ""ru"": ""войско"", ""ru_variants"": [""войско"", ""сила"", ""силой""], ""tail"": ""bala"", ""questions"": [""что? (голова — последний член)""]}, {""step"": 2, ""member"": ""mahat"", ""ru"": ""великий"", ""ru_variants"": [""великий"", ""великое"", ""великого""], ""tail"": ""mahat-bala"", ""questions"": [""какой? / какая?"", ""чей? / чего?"", ""кого? / чего?""]}]"
