pass	cpd_token_id	coarse	fine	vigraha	rationale
B	2373894	tatpurusa	karmadharaya	nagaḥ iva mātrā (yeṣām)	-mātra size-simile compound (upamāna karmadharaya), parallel to the codebook's megha-śyāma type.
B	1227045	tatpurusa	karmadharaya	śrīmān bhagavān	honorific apposition: 'he who is glorious and blessed', both epithets predicated of the same referent in the same case.
B	3529054	tatpurusa	tat-sasthi	anyasya bhāvaḥ	taddhita -tva 'state of X' is genitive per Pāṇini's tasya bhāvaḥ rule.
B	2383437	tatpurusa	upapada	dehaṃ nāśayati iti nāśinī	nāśinī is a deverbal -in agent noun; deha is its object (body-destroying, epithet of death/old age).
B	3579374	tatpurusa	karmadharaya	laukikāḥ parīkṣakāḥ	adjective + noun apposition in the same case: 'worldly/common examiners'.
B	4807016	tatpurusa	tat-saptami	kaṇṭhe saktaḥ	locative relation — attached AT the neck (sacred thread hanging around the neck).
B	4563378	dvandva	n/a	japaśca homaśca	two distinct co-equal ritual acts (muttered recitation and fire-oblation) joined by 'and'.
B	2498784	tatpurusa	tat-sasthi	saubhasya dvāri	the door OF Saubha (the flying city/vehicle) — genitive relation.
B	3937001	tatpurusa	upapada	jvaraṃ nāśayati iti nāśinī	same -in agent pattern as deha-nāśinī: fever is the object of destroying (a fever-remedy plant).
B	3170303	tatpurusa	tat-sasthi	śakrasya vākyāt	the word OF Indra — genitive; the compound's external ablative case is a distractor.
B	3425505	tatpurusa	upapada	pattraṃ bhunkte iti bhuk	bhuj is a kṛt agent noun (√bhuj); pattra (leaf) is its object — 'leaf-eater'.
B	3043701	tatpurusa	upapada	sukham anvicchati iti anveṣī	anveṣin is a deverbal -in agent noun; sukha is the object sought.
B	3138448	tatpurusa	karmadharaya	apasmāri kulam	adjective + noun, same case — a family marked/characterized by epilepsy.
B	4229735	tatpurusa	tat-caturthi	devebhyaḥ kāryāṇi	duties/rites performed FOR the gods — dative of purpose, analogous to yūpa-dāru.
B	633462	tatpurusa	upapada	rādhāṃ bhinatti iti bhettā	bhettṛ is a kṛt agent noun (√bhid+tṛc); Rādhā (the target) is its object.
B	3033840	tatpurusa	upapada	vaśe vartate iti vartī	vartin is a deverbal -in noun; vaśa (control) is the argument of the verbal action — 'one who abides in [another's] control'.
B	4222726	dvandva	n/a	devāśca rakṣāṃsi ca	coordinate pair 'gods and demons' — the battle of both parties together.
B	4124260	bahuvrihi	n/a	varam ānanaṃ yasyāḥ (sā)	vocative epithet addressing a woman by an external possessed feature — exocentric, denotes her, not the face.
B	5060688	tatpurusa	karmadharaya	hīnaṃ sakhyam	adjective + noun, same case — friendship characterized as base/low.
B	1164340	tatpurusa	karmadharaya	ekaśca asau deśaśca	eka functions adjectivally ('a single/the same'), not forming a numeral-aggregate set — contrast dvigu.
B	267757	tatpurusa	tat-sasthi	kulasya putrau	sons OF a [good] family — genitive.
B	3700798	tatpurusa	tat-caturthi	puṭanārtham auṣadham	the drug/herb FOR the [alchemical] puṭana process — dative of purpose.
B	3450150	bahuvrihi	n/a	aṣṭau cakrāṇi yasya (tat)	describes the vehicle as possessing eight wheels — exocentric possessive.
B	2332793	tatpurusa	tat-sasthi	kuśasya agram	the tip OF kusha-grass — genitive.
B	858576	tatpurusa	tat-sasthi	puṣkarasya mūlam	the root OF the puṣkara plant — genitive.
B	4762626	tatpurusa	tat-sasthi	amarāvatyāḥ kendram	the center OF Amarāvatī — genitive.
B	1297016	tatpurusa	tat-sasthi	tālānāṃ vanam	a forest OF palm trees — genitive.
B	5530319	bahuvrihi	n/a	jīraṃ dānu yasya (tat)	obscure Vedic epithet, 'swift-flowing/swift-gifted', describing an external referent (path/course) rather than the stream itself; low confidence.
B	5256416	tatpurusa	tat-sasthi	sūryasya ātapaḥ	the heat OF the sun — genitive.
B	914499	tatpurusa	tat-sasthi	malasya pravṛttiḥ	the passing/emission OF waste — genitive (bowel movement).
B	4711292	tatpurusa	tat-dvitiya	devān heḍayati tat / devān prati heḍanam	heḍana is a verbal-action noun (√heḍ); deva is its object — offense committed against the gods.
B	437787	dvandva	n/a	patnī ca yajamānaśca	coordinate pair — the wife and the sacrificer, named together as ritual participants.
B	418141	tatpurusa	karmadharaya	padmam iva ābhāti	simile-compound (upamāna karmadharaya) — resembling a lotus in lustre.
B	4005952	bahuvrihi	n/a	viṣaṇṇaṃ vadanaṃ yasya (saḥ)	describes a person via a possessed feature (his face) — exocentric referent.
B	625895	tatpurusa	upapada	saudhe tiṣṭhati iti sthā	stha is a kṛt-deverbal locational noun; saudha (palace-terrace) is its locus argument.
B	269319	tatpurusa	tat-sasthi	kulasya duhitā	daughter OF a [good] family — genitive.
B	5358591	tatpurusa	tat-trtiya	śatena vitṛṇṇaḥ	pierced/perforated BY/WITH a hundred [holes] — instrumental means (a ladle with a hundred perforations).
B	2030473	tatpurusa	tat-sasthi	piśācasya bhāvaḥ	taddhita -tva, 'the state of being a piśāca' — genitive per Pāṇini's tasya bhāvaḥ rule.
B	2694673	bahuvrihi	n/a	ayaḥ hastaḥ yasya saḥ	Warrior-epithet 'one whose hand is (of) iron' — external referent dominates (anyapadārtha), so bahuvrīhi, not tatpuruṣa.
