base_stem,dcs_lemma_grammar,formation_class,method,evidence,tokens
nirīkṣay,10.P.,ambiguous_caus_class10,root-recovery(identity),identity (preverb-stripped nirīkṣ->īkṣ): īkṣ (4. P.),2
nyāsay,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ā->a: nyas (1.Ā.,2.P.,4.P.,1.P.,4.Ā.)",2
nāday,10. Ā.,causative,root-recovery,vrddhi ā->a: nad (1. Ā.),2
nāmay,10. P.,causative,root-recovery,vrddhi ā->a: nam (1. Ā.),2
paridevay,"10.P.,10.Ā.",causative,root-recovery,strip paridev->dev; guna e->ī: dīv (4. Ā.),2
pracyāvay,10.P.,causative,root-recovery,strip pracyāv->cyāv; vrddhi āv->u: cyu (1. P.),2
pradhāvay,"10.P.,10.Ā.",causative,root-recovery,vrddhi āv->ū: pradhū (5.P.),2
prahlāday,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),hlād 1.Ā 'be glad' -> hlādayati 'gladdens' (MW caus.),2
prakṣālay,"10.P.,10.Ā.",class10_lexical,root-recovery(no-hit),"no independent root recoverable; own entry 10.P.,10.Ā.",2
pratipāday,"10.P.,10.Ā.",causative,root-recovery,strip pratipād->pād; vrddhi ā->a: pad (1. P.),2
pravāday,"10.P.,10.Ā.",causative,root-recovery,strip pravād->vād; vrddhi ā->a: vad (1. Ā.),2
preray,"10.P.,10.Ā.",ambiguous_caus_class10,root-recovery(identity),identity: prer (2.Ā.),2
prokṣay,10.P.,ambiguous_caus_class10,root-recovery(identity),"identity: prokṣ (6.Ā.,6.P.)",2
pāray,10. Ā.,causative,root-recovery,vrddhi ār->ṛ: pṛ (1. P.),2
sabhājay,Denom. Ā.,denominative,dcs-grammar,Denom. Ā.,2
samprārthay,Denom.P.,denominative,dcs-grammar,Denom.P.,2
samśoṣay,10.P.,causative,root-recovery,strip samśoṣ->śoṣ; guna o->u: śuṣ (6. Ā.),2
saṃcāray,10.P.,causative,root-recovery,strip saṃcār->cār; vrddhi ā->a: car (1. Ā.),2
saṃharṣay,10.P.,causative,root-recovery,strip saṃharṣ->harṣ; guna ar->ṛ: hṛṣ (1. P.),2
saṃkrāmay,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ā->a: saṃkram (4.P.,6.P.,1.P.,1.Ā.)",2
saṃkīrtay,10.P.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10.P.,2
saṃskāray,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ār->ṛ: saṃskṛ (8.P.,8.Ā.)",2
saṃsthāpay,10.P.,causative,root-recovery,strip saṃsthāp->sthāp; p-caus (ā-p): sthā (1. Ā.),2
saṃtarjay,10.P.,ambiguous_caus_class10,root-recovery(identity),identity (preverb-stripped saṃtarj->tarj): tarj (1. Ā.),2
saṃveśay,10.P.,causative,root-recovery,"guna e->i: saṃviś (6.Ā.,6.P.)",2
upādhāvay,"10.P.,10.Ā.",causative,root-recovery,strip upādhāv->dhāv; vrddhi ā->a: dhav (1. P.),2
utsāray,10.P.,causative,root-recovery,strip utsār->sār; vrddhi ār->ṛ: sṛ (3. Ā.),2
varṣay,10. P.,causative,root-recovery,guna ar->ṛ: vṛṣ (6. P.),2
veday,10. Ā.,causative,root-recovery,guna e->i: vid (2. Ā.),2
vibhūṣay,10.P.,ambiguous_caus_class10,root-recovery(identity),identity: vibhūṣ (1.P.),2
vilokay,"10.P.,10.Ā.",class10_lexical,root-recovery(no-hit),"no independent root recoverable; own entry 10.P.,10.Ā.",2
vivāsay,"10.P.,10.Ā.",causative,root-recovery,vrddhi ā->a: vivas (6.P.),2
viśrāvay,10.P.,causative,root-recovery,"vrddhi āv->u: viśru (5.Ā.,5.P.)",2
vyaṃsay,Denom. Ā.,denominative,dcs-grammar,Denom. Ā.,2
yācay,10. P.,ambiguous_caus_class10,root-recovery(identity),identity: yāc (1. Ā.),2
āgamay,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),gam 'go' -> gamayati 'causes to go' (Whitney §1042e),2
ākāray,10.P.,causative,root-recovery,strip ākār->kār; vrddhi ār->ṛ: kṛ (2. Ā.),2
āliṅgay,10.P.,ambiguous_caus_class10,root-recovery(identity),identity (preverb-stripped āliṅg->liṅg): liṅg (1. P.),2
āvartay,"10.P.,10.Ā.",causative,root-recovery,"guna ar->ṛ: āvṛt (1.P.,1.Ā.)",2
śaṃsay,10. P.,ambiguous_caus_class10,root-recovery(identity),identity: śaṃs (2. P.),2
abhinanday,10.P.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),nand 1.P 'rejoice' -> nandayati 'gladdens',1
abhiprasāday,"10.P.,10.Ā.",causative,root-recovery,strip abhiprasād->sād; vrddhi ā->a: sad (6. P.),1
abhipravarṣay,10.P.,causative,root-recovery,strip abhipravarṣ->varṣ; guna ar->ṛ: vṛṣ (6. P.),1
abhisāray,10.P.,causative,root-recovery,"vrddhi ār->ṛ: abhisṛ (1.Ā.,1.P.,3.P.,3.Ā.)",1
abhivāday,"10.P.,10.Ā.",causative,root-recovery,strip abhivād->vād; vrddhi ā->a: vad (1. Ā.),1
abhiṣecay,"10.P.,10.Ā.",causative,root-recovery,"guna e->i: abhiṣic (4.P.,6.Ā.,6.P.)",1
alaṃkāray,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ār->ṛ: alaṃkṛ (8.P.,8.Ā.)",1
anumantray,"Denom.P.,Denom.Ā.",denominative,dcs-grammar,"Denom.P.,Denom.Ā.",1
anuvicintay,"10.P.,10.Ā.",class10_lexical,root-recovery(no-hit),"no independent root recoverable; own entry 10.P.,10.Ā.",1
anuvāday,"10.P.,10.Ā.",causative,root-recovery,strip anuvād->vād; vrddhi ā->a: vad (1. Ā.),1
anveṣay,"10.P.,10.Ā.",causative,root-recovery,"guna e->i: anviṣ (6.P.,1.Ā.,4.P.,6.Ā.,1.P.,4.Ā.)",1
apacikramiṣ,Desid. P.,desiderative,dcs-grammar,Desid. P.,1
apanī,"1.P.,1.Ā.",plain_root,dcs-grammar,"1.P.,1.Ā.",1
atitāpay,10.P.,causative,root-recovery,"vrddhi ā->a: atitap (1.P.,4.P.)",1
avakalpay,"10.P.,10.Ā.",causative,override (auto was class10_lexical/root-recovery(no-hit)),kḷp 1.Ā 'be fit' -> kalpayati 'arranges' (Whitney §1042b),1
avekṣ,"1.Ā.,1.P.",plain_root,dcs-grammar,"1.Ā.,1.P.",1
aṅkay,10. P.,ambiguous_caus_class10,root-recovery(identity),identity: aṅk (1. P.),1
bhraṃśay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: bhraṃś (1. P.),1
bībhats,Desid. Ā.,desiderative,dcs-grammar,Desid. Ā.,1
ci,1. Ā.,plain_root,dcs-grammar,1. Ā.,1
daṃśay,10. P.,ambiguous_caus_class10,root-recovery(identity),identity: daṃś (1. Ā.),1
devay,10. Ā.,causative,root-recovery,guna e->ī: dīv (4. Ā.),1
deśay,10. Ā.,causative,root-recovery,guna e->i: diś (6. Ā.),1
dhvaṃsay,10. Ā.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),dhvaṃs 1.Ā 'fall to pieces' -> dhvaṃsayati 'destroys' (MW caus.),1
dhūnay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,1
dudhūrṣ,Desid. Ā.,desiderative,dcs-grammar,Desid. Ā.,1
dyotay,10. Ā.,causative,root-recovery,guna o->u: dyut (1. P.),1
edh,1. P.,plain_root,dcs-grammar,1. P.,1
edhay,10. P.,ambiguous_caus_class10,root-recovery(identity),identity: edh (1. P.),1
gharṣay,10. P.,causative,root-recovery,guna ar->ṛ: ghṛṣ (4. P.),1
ghaṭay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: ghaṭ (1. Ā.),1
ghaṭṭay,10. P.,ambiguous_caus_class10,root-recovery(identity),identity: ghaṭṭ (1. Ā.),1
gāpay,10. Ā.,causative,root-recovery,p-caus (ā-p): gā (4. Ā.),1
jñapay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,1
jāgṛ,2. Ā.,plain_root,dcs-grammar,2. Ā.,1
jṛmbhay,10. P.,ambiguous_caus_class10,root-recovery(identity),identity: jṛmbh (1. P.),1
kalay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: kal (1. P.),1
kartay,10. P.,causative,root-recovery,guna ar->ṛ: kṛt (2. P.),1
khaṇḍay,Denom. P.,denominative,dcs-grammar,Denom. P.,1
kleday,10. P.,causative,root-recovery,guna e->i: klid (4. Ā.),1
krīḍay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: krīḍ (1. Ā.),1
kṛpay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: kṛp (1. Ā.),1
kṣepay,10. P.,causative,root-recovery,guna e->i: kṣip (6. Ā.),1
lolay,10. Ā.,causative,root-recovery,guna o->u: lul (1. P.),1
mahay,Denom. Ā.,denominative,dcs-grammar,Denom. Ā.,1
marṣay,10. Ā.,causative,root-recovery,guna ar->ṛ: mṛṣ (2. P.),1
māray,10. Ā.,causative,root-recovery,vrddhi ār->ṛ: mṛ (4. Ā.),1
nikṣepay,10.P.,causative,root-recovery,"guna e->i: nikṣip (4.P.,6.Ā.,6.P.)",1
nilī,"1.Ā.,4.P.,4.Ā.",plain_root,dcs-grammar,"1.Ā.,4.P.,4.Ā.",1
ninday,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: nind (1. Ā.),1
nirmāpay,10.P.,causative,root-recovery,strip nirmāp->māp; p-caus (ā-p): mā (3. P.),1
nirvāsay,10.P.,causative,root-recovery,vrddhi ā->a: nirvas (1.P.),1
niḥsrāvay,10.P.,causative,root-recovery,vrddhi āv->u: niḥsru (1.P.),1
niṣkrāmay,10.P.,causative,root-recovery,"vrddhi ā->a: niṣkram (4.P.,6.P.,1.P.,1.Ā.)",1
niṣkāsay,10.P.,causative,root-recovery,vrddhi ā->a: niṣkas (1.P.),1
niṣpattray,Denom. Ā.,denominative,dcs-grammar,Denom. Ā.,1
paripālay,"10.P.,10.Ā.",class10_lexical,override-confirmed (root-recovery(no-hit)),MW pāl 10 = denominative of pāla m. 'guardian'; the automatic hit pāl->pal (pal 1 'go') is a spurious homophone,1
parisaṃsthāpay,"10.P.,10.Ā.",causative,root-recovery,"p-caus (ā-p): parisaṃsthā (1.P.,1.Ā.)",1
paritoṣay,10.P.,causative,root-recovery,strip paritoṣ->toṣ; guna o->u: tuṣ (4. Ā.),1
prabhāsay,10.P.,causative,root-recovery,strip prabhās->bhās; vrddhi ā->a: bhas (1. P.),1
pradhvaṃsay,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),dhvaṃs 1.Ā 'fall to pieces' -> dhvaṃsayati 'destroys' (MW caus.),1
pragaṇay,10.P.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10.P.,1
prajvālay,10.P.,causative,root-recovery,vrddhi ā->a: prajval (1.P.),1
prakalpay,10.P.,causative,override (auto was class10_lexical/root-recovery(no-hit)),kḷp 1.Ā 'be fit' -> kalpayati 'arranges' (Whitney §1042b),1
prakampay,10.P.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),kamp 1.Ā 'tremble' -> kampayati 'shakes',1
prakaṭay,Denom. P.,denominative,dcs-grammar,Denom. P.,1
prakāśay,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),kāś 1.Ā 'shine' -> (pra)kāśayati 'makes visible' (MW caus.),1
prasnāpay,"10.P.,10.Ā.",causative,root-recovery,strip prasnāp->snāp; p-caus (ā-p): snā (4. P.),1
prathay,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: prath (1. P.),1
pratigrāhay,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ā->a: pratigrah (9.P.,1.P.,9.Ā.)",1
pratipālay,"10.P.,10.Ā.",class10_lexical,override-confirmed (root-recovery(no-hit)),MW pāl 10 = denominative of pāla m. 'guardian'; the automatic hit pāl->pal (pal 1 'go') is a spurious homophone,1
pravaray,"10.P.,10.Ā.",ambiguous_caus_class10,override (auto was causative/root-recovery),formally guna of vṛ 9 'choose' but varayati itself means 'chooses' (not 'causes to choose'); MW lists vṛ cl.10,1
pravyathay,10.P.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),vyath 1.Ā 'waver' -> vyathayati 'agitates' (Whitney §1042),1
prayojay,10.P.,causative,root-recovery,"guna o->u: prayuj (7.Ā.,7.P.)",1
praṇāśay,10.P.,causative,root-recovery,vrddhi ā->a: praṇaś (1.P.),1
ropay,10. Ā.,causative,root-recovery,guna o->u: rup (6. P.),1
rāvay,10. P.,causative,root-recovery,vrddhi āv->u: ru (1. P.),1
samarcay,10.P.,ambiguous_caus_class10,override-confirmed (root-recovery(identity)),"arc 1.P arcati 'honour' and arcayati cl.10 same sense — causative form, non-causative semantics",1
samarthay,"Denom.P.,Denom.Ā.",denominative,dcs-grammar,"Denom.P.,Denom.Ā.",1
sambodhay,10.P.,causative,root-recovery,"guna o->u: sambudh (4.P.,1.P.,1.Ā.,4.Ā.)",1
samupasthāpay,10.P.,causative,root-recovery,"p-caus (ā-p): samupasthā (1.P.,1.Ā.)",1
samutthāpay,10.P.,causative,root-recovery,"p-caus (ā-p): samutthā (1.P.,1.Ā.)",1
samādeśay,"10.P.,10.Ā.",causative,root-recovery,"strip samādeś->ādeś; guna e->i: ādiś (6.Ā.,6.P.)",1
samājñāpay,"10.P.,10.Ā.",causative,root-recovery,strip samājñāp->jñāp; p-caus (ā-p): jñā (4. Ā.),1
samārurukṣ,Desid. P.,desiderative,dcs-grammar,Desid. P.,1
saṃcalay,10.P.,ambiguous_caus_class10,root-recovery(identity),identity (preverb-stripped saṃcal->cal): cal (1. Ā.),1
saṃcyāvay,10.P.,causative,root-recovery,strip saṃcyāv->cyāv; vrddhi āv->u: cyu (1. P.),1
saṃdhāray,"10.P.,10.Ā.",causative,override-confirmed (root-recovery),"dhṛ -> dhārayati; formally causative (functions as the plain present 'holds' in classical usage, Whitney §1041b)",1
saṃdāray,"10.P.,10.Ā.",causative,root-recovery,strip saṃdār->dār; vrddhi ār->ṛ: dṛ (1. P.),1
saṃdīpay,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),dīp 4.Ā 'blaze' -> dīpayati 'kindles',1
saṃgamay,10.P.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),gam 'go' -> gamayati 'causes to go' (Whitney §1042e),1
saṃghaṭay,10.P.,ambiguous_caus_class10,root-recovery(identity),identity (preverb-stripped saṃghaṭ->ghaṭ): ghaṭ (1. Ā.),1
saṃghaṭṭay,10.P.,ambiguous_caus_class10,root-recovery(identity),identity (preverb-stripped saṃghaṭṭ->ghaṭṭ): ghaṭṭ (1. Ā.),1
saṃghoṣay,10.P.,causative,root-recovery,"guna o->u: saṃghuṣ (1.P.,1.Ā.)",1
saṃjṛmbhay,10. P.,ambiguous_caus_class10,root-recovery(identity),identity: saṃjṛmbh (1.Ā.),1
saṃkathay,10.P.,class10_lexical,override (auto was ambiguous_caus_class10/root-recovery(identity)),"MW kath cl.10 kathayati, denominative of katham (Whitney §1056a); the DCS inventory row 'kath 4.Ā.' reflects the rare epic middle kathate, not an independent underived root",1
saṃkṣobhay,"10.P.,10.Ā.",causative,root-recovery,"guna o->u: saṃkṣubh (9.P.,1.Ā.,4.P.,4.Ā.)",1
saṃloḍay,10.P.,causative,root-recovery,strip saṃloḍ->loḍ; guna o->u: luḍ (1. P.),1
saṃnipātay,10.P.,causative,root-recovery,strip saṃnipāt->pāt; vrddhi ā->a: pat (1. Ā.),1
saṃplāvay,"10.P.,10.Ā.",causative,root-recovery,strip saṃplāv->plāv; vrddhi āv->u: plu (1. P.),1
saṃpradits,"Desid.Ā.,Desid.P.",desiderative,dcs-grammar,"Desid.Ā.,Desid.P.",1
saṃsmāray,10.P.,causative,root-recovery,strip saṃsmār->smār; vrddhi ār->ṛ: smṛ (1. Ā.),1
saṃtarkay,Denom.P.,denominative,dcs-grammar,Denom.P.,1
saṃtolay,10.P.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10.P.,1
saṃtānay,10.P.,causative,root-recovery,strip saṃtān->tān; vrddhi ā->a: tan (8. Ā.),1
saṃtāḍay,10.P.,class10_lexical,override (auto was causative/root-recovery),MW/Dhātupāṭha taḍ curādi (cl.10) tāḍayati only; the DCS inventory row 'taḍ 2.P.' has no MW basis,1
saṃvāray,10.P.,causative,root-recovery,"vrddhi ār->ṛ: saṃvṛ (9.P.,5.Ā.,5.P.)",1
saṃśamay,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),śam 4.P 'become calm' -> śamayati 'calms' (a-vowel unstrengthened),1
saṃśrāvay,"10.P.,10.Ā.",causative,root-recovery,"vrddhi āv->u: saṃśru (5.Ā.,5.P.)",1
snapay,10. P.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. P.,1
sparśay,10. Ā.,causative,root-recovery,guna ar->ṛ: spṛś (6. Ā.),1
sphoṭay,10. Ā.,causative,root-recovery,guna o->u: sphuṭ (6. Ā.),1
svaday,10. Ā.,ambiguous_caus_class10,root-recovery(identity),identity: svad (1. Ā.),1
takṣay,10. P.,ambiguous_caus_class10,root-recovery(identity),identity: takṣ (5. P.),1
tulay,10. Ā.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10. Ā.,1
uddharṣay,10.P.,causative,root-recovery,guna ar->ṛ: uddhṛṣ (4.P.),1
uddhvaṃsay,10.P.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),dhvaṃs 1.Ā 'fall to pieces' -> dhvaṃsayati 'destroys' (MW caus.),1
uddhūlay,Denom.P.,denominative,dcs-grammar,Denom.P.,1
uddyotay,10.P.,causative,root-recovery,guna o->u: uddyut (1.Ā.),1
udghāṭay,10.P.,causative,root-recovery,strip udghāṭ->ghāṭ; vrddhi ā->a: ghaṭ (1. Ā.),1
udvartay,10.P.,causative,root-recovery,"guna ar->ṛ: udvṛt (1.P.,1.Ā.)",1
udvāhay,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ā->a: udvah (1.P.,1.Ā.)",1
udvāpay,"10.P.,10.Ā.",causative,root-recovery,"p-caus (ā-p): udvā (2.P.,4.P.)",1
udvāsay,"10.P.,10.Ā.",causative,root-recovery,strip udvās->vās; vrddhi ā->a: vas (2. Ā.),1
udyamay,10.P.,ambiguous_caus_class10,root-recovery(identity),"identity: udyam (6.P.,1.P.,1.Ā.)",1
unmūlay,"10.P.,10.Ā.",ambiguous_caus_class10,root-recovery(identity),identity: unmūl (1.P.),1
upanāmay,10.P.,causative,root-recovery,strip upanām->nām; vrddhi ā->a: nam (1. Ā.),1
upasukhay,Denom.P.,denominative,dcs-grammar,Denom.P.,1
upādīpay,"10.P.,10.Ā.",causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),dīp 4.Ā 'blaze' -> dīpayati 'kindles',1
utplāvay,10.P.,causative,root-recovery,strip utplāv->plāv; vrddhi āv->u: plu (1. P.),1
utpātay,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ā->a: utpat (1.P.,1.Ā.)",1
utsāhay,10.P.,causative,root-recovery,strip utsāh->sāh; vrddhi ā->a: sah (1. P.),1
uttejay,10.P.,causative,root-recovery,strip uttej->tej; guna e->i: tij (1. P.),1
uttāray,10.P.,causative,root-recovery,strip uttār->tār; vrddhi ār->ṛ: tṛ (3. P.),1
varjay,10. Ā.,causative,root-recovery,guna ar->ṛ: vṛj (7. Ā.),1
veṣṭay,10. Ā.,causative,root-recovery,guna e->i: viṣṭ (6. P.),1
vibhāvay,"10.P.,10.Ā.",causative,root-recovery,vrddhi āv->ū: vibhū (1.P.),1
vicāray,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ā->a: vicar (1.P.,1.Ā.)",1
vidyotay,10.P.,causative,root-recovery,"guna o->u: vidyut (1.Ā.,1.P.)",1
vigaṇay,10.P.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10.P.,1
vikrāpay,10.P.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10.P.,1
vilobhay,10.P.,causative,root-recovery,strip vilobh->lobh; guna o->u: lubh (4. Ā.),1
vimohay,"10.P.,10.Ā.",causative,root-recovery,"guna o->u: vimuh (4.P.,4.Ā.)",1
viniyojay,10.P.,causative,root-recovery,strip viniyoj->yoj; guna o->u: yuj (1. P.),1
vināday,10.P.,causative,root-recovery,"vrddhi ā->a: vinad (1.P.,1.Ā.)",1
vināmay,10.P.,causative,root-recovery,strip vinām->nām; vrddhi ā->a: nam (1. Ā.),1
vināśay,"10.P.,10.Ā.",causative,root-recovery,strip vināś->nāś; vrddhi ā->a: naś (1. Ā.),1
vipothay,"10.P.,10.Ā.",class10_lexical,root-recovery(no-hit),"no independent root recoverable; own entry 10.P.,10.Ā.",1
vismi,"1.Ā.,1.P.",plain_root,dcs-grammar,"1.Ā.,1.P.",1
vitrāsay,10.P.,causative,root-recovery,strip vitrās->trās; vrddhi ā->a: tras (4. Ā.),1
vivardhay,10.P.,causative,root-recovery,"guna ar->ṛ: vivṛdh (1.P.,1.Ā.)",1
viśrāmay,10.P.,causative,root-recovery,"vrddhi ā->a: viśram (1.Ā.,1.P.,4.P.,4.Ā.)",1
viśātay,10.P.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10.P.,1
viṣāday,10.P.,causative,root-recovery,"vrddhi ā->a: viṣad (1.P.,1.Ā.)",1
vyavasthāpay,10.P.,causative,root-recovery,"strip vyavasthāp->avasthāp; p-caus (ā-p): avasthā (1.P.,1.Ā.)",1
vyavasāyay,10.P.,class10_lexical,root-recovery(no-hit),no independent root recoverable; own entry 10.P.,1
vyañjay,10.P.,ambiguous_caus_class10,root-recovery(identity),"identity: vyañj (1.P.,7.Ā.,1.Ā.,7.P.)",1
vyāpāday,10.P.,causative,root-recovery,"strip vyāpād->āpād; vrddhi ā->a: āpad (4.P.,4.Ā.)",1
vyāpātay,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ā->a: vyāpat (1.P.,1.Ā.)",1
yāpay,10. P.,causative,root-recovery,p-caus (ā-p): yā (2. Ā.),1
ācchanday,"10.P.,10.Ā.",class10_lexical,root-recovery(no-hit),"no independent root recoverable; own entry 10.P.,10.Ā.",1
āghaṭṭay,10.P.,ambiguous_caus_class10,root-recovery(identity),identity (preverb-stripped āghaṭṭ->ghaṭṭ): ghaṭṭ (1. Ā.),1
ākramay,10.P.,causative,override (auto was ambiguous_caus_class10/root-recovery(identity)),ram 1.Ā 'delight in' -> ramayati 'delights (another)' (Whitney §1042),1
ākṣepay,10.P.,causative,root-recovery,"guna e->i: ākṣip (4.P.,6.Ā.,6.P.)",1
ālakṣay,"10.P.,10.Ā.",ambiguous_caus_class10,root-recovery(identity),identity (preverb-stripped ālakṣ->lakṣ): lakṣ (1. Ā.),1
āsay,10. P.,causative,root-recovery,vrddhi ā->a: as (2. P.),1
āsañjay,10.P.,ambiguous_caus_class10,root-recovery(identity),"identity: āsañj (1.P.,1.Ā.)",1
āvarjay,10.P.,causative,root-recovery,"guna ar->ṛ: āvṛj (7.Ā.,7.P.)",1
āveśay,10.P.,causative,root-recovery,"guna e->i: āviś (6.Ā.,6.P.)",1
āvāhay,"10.P.,10.Ā.",causative,root-recovery,"vrddhi ā->a: āvah (4.P.,1.P.,1.Ā.)",1
āvāray,10.P.,causative,root-recovery,"vrddhi ār->ṛ: āvṛ (5.Ā.,5.P.)",1
āśri,"1.P.,1.Ā.",plain_root,dcs-grammar,"1.P.,1.Ā.",1
śodhay,10. Ā.,causative,root-recovery,guna o->u: śudh (7. P.),1
śoṣay,10. Ā.,causative,root-recovery,guna o->u: śuṣ (6. Ā.),1
