L_id	k1	hom	verdict	mw_realcite	corpus_hit	also_in_pw_same_source	pwg_text_sibling	n_kosa	present_in	novel_kosa	pwg_cited_sources
18775	kfmiripu		text-attested	1		1	0	1	vcp|mw|pw	vcp	ŚABDAR|ŚKDR
18779	kfmilikA		text-attested	1		1	0	0	mw|ap90|ap|pw		VYUTP
18780	kfmivarRa		text-attested	1		1	0	0	mw|pw		VYUTP
18781	kfmivAriruha		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18783	kfmiSaNKa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18784	kfmiSatru		text-attested	1		1	0	0	mw|pw		RATNAM|ŚABDAC|ŚKDR
18785	kfmiSAtrava		dict-lexical	0		1	0	0	mw|pw		ŚABDAC|ŚKDR
18786	kfmiSukti		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18787	kfmiSEla		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK|ŚABDAR|ŚKDR
18789	kfmisena		text-attested	1		1	0	0	mw|pw		BURN
18790	kfmihA		dict-lexical	0		1	0	0	mw|pw		RĀJAN|ŚKDR
18791	kfmIlaka		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18805	kfSalA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap90|ap|pw	vcp	ŚABDAC|ŚKDR
18806	kfSaSAKa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18808	kfSAkza		text-attested	1		1	0	0	mw|pw		WILS
18812	kfSAnuretas		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	AK
18814	kfSikA		kosa-corroborated	0		0	0	2	vcp|skd|mw	vcp	RĀJAN|ŚKDR
18815	kfzaka		text-attested	1		1	0	2	vcp|mw|ap|pw|abch	vcp	H|MED|TRIK|ŚABDAC|ŚKDR
18818	kfzARu		dict-lexical	0		0	0	0	mw		AK
18820	kfzika		text-attested	1		1	0	3	armh|vcp|mw|pw|abch	armh|vcp	AK|H
18822	kfzkara		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
18825	kfzwapAkya		dict-lexical	0		1	0	0	mw|ap|pw		ŚKDR
18837	kfzRakanda		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
18841	kfzRakarman	2	text-attested	1		1	1	1	mw|ap|pw|abch		AK|H
18842	kfzRakAka		kosa-corroborated	0		1	0	3	armh|vcp|mw|pw|abch	armh|vcp	H
18844	kfzRakAzWa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18845	kfzRakohala		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
18846	kfzRagaNgA		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	RĀJAN|Verz|ŚKDR
18853	kfzRacaYcuka		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18854	kfzRacandra		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	Verz
18856	kfzRacUqA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|WILS|ŚKDR
18857	kfzRacUrRa		dict-lexical	0		1	0	0	mw|pw		RĀJAN|ŚKDR
18860	kfzRajawA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RATNAM|ŚKDR
18861	kfzRajI		dict-lexical	0		1	0	0	mw|pw		Verz
18862	kfzRajIraka		text-attested	1		1	1	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18863	kfzRataRqulA		kosa-corroborated	0		1	0	3	vcp|skd|mw|pw|acph	acph|vcp	H|RĀJAN|ŚKDR
18866	kfzRatAmra		text-attested	1		1	0	1	vcp|mw|pw	vcp	ŚABDAM|ŚKDR
18867	kfzRatAra		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18869	kfzRatIrTa		text-attested	1		1	0	0	mw|pw		COLEBR
18871	kfzRatrivftA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	JAṬĀDH|ŚKDR
18874	kfzRadAsa		dict-lexical	0		0	0	0	mw		COLEBR
18875	kfzRadeha		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚKDR
18876	kfzRadEvajYa		dict-lexical	0		1	0	0	mw|pw		Verz
18879	kfzRaDattUraka		dict-lexical	0		1	0	0	mw|pw		RĀJAN|WILS|ŚKDR
18880	kfzRanagara		dict-lexical	0		1	0	0	mw|pw		Verz
18882	kfzRapakza	2	text-attested	1	bhs	1	1	2	vcp|mw|bhs|pw|acph	acph|vcp	H
18883	kfzRapakzika		text-attested	1	bhs	1	0	0	mw|bhs|pw		BURN
18884	kfzRapaRqita		text-attested	1		1	0	0	mw|pw		COLEBR|Verz|ebend
18886	kfzRaparRI		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RATNAM|ŚKDR
18888	kfzRapAka		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAR|ŚKDR
18889	kfzRapAkaPala		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	AK
18891	kfzRapiRqItaka		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RATNAM|ŚKDR
18892	kfzRapipIlI		kosa-corroborated	0		1	0	1	skd|mw|pw		RĀJAN|ŚKDR
18893	kfzRapuzpa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚABDAC|ŚKDR
18895	kfzRaPala		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	AK|ŚKDR
18896	kfzRaPalapAka		kosa-corroborated	0		0	0	1	vcp	vcp	ŚKDR
18898	kfzRaBakticandrikA		dict-lexical	0		1	0	0	mw|pw		Ind
18900	kfzRaBUmijA		kosa-corroborated	0		1	0	1	skd|mw|pw		RĀJAN|ŚKDR
18901	kfzRaBedI		kosa-corroborated	0		0	0	2	vcp|skd	vcp	AK|RĀJAN|ŚKDR
18905	kfzRamallikA		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18908	kfzRamudga		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18909	kfzRamUlI		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
18912	kfzRamfd		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18916	kfzRarakta		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	H
18917	kfzRaruhA		kosa-corroborated	0		0	0	2	vcp|skd|mw	vcp	RĀJAN|ŚKDR
18921	kfzRalavaRa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18923	kfzRalohita		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	AK
18924	kfzRavaktra		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	HALĀY|ŚKDR
18925	kfzRavarRa		dict-lexical	0		1	0	0	mw|pw		H
18928	kfzRavarvaraka		pwg-unique	0		0	0	0			RĀJAN|ŚKDR
18929	kfzRavallikA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
18930	kfzRavallI		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚABDAC|ŚKDR
18931	kfzRavAnara		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18933	kfzRavIja		kosa-corroborated	0		0	0	1	vcp	vcp	JAṬĀDH|RĀJAN|ŚKDR
18934	kfzRavfntA		kosa-corroborated	0		0	0	2	vcp|skd|mw	skd|vcp	AK|H|MED
18935	kfzRavfntikA		kosa-corroborated	0		1	0	1	skd|mw|pw		RATNAM|ŚKDR
18942	kfzRaSarman		dict-lexical	0		1	0	0	mw|pw		Verz
18943	kfzRaSAra		kosa-corroborated	0		0	0	1	vcp	vcp	AK|H|ŚKDR
18944	kfzRaSAli		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18945	kfzRaSigru		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18946	kfzRaSimbikA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RATNAM|RĀJAN|WILS|ŚKDR
18947	kfzRaSfNga		kosa-corroborated	0		1	0	3	vcp|mw|pw|abch|nmmb	nmmb|vcp	H
18949	kfzRasamudBavA		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18951	kfzRasarzapa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18954	kfzRasAraTi		text-attested	1		1	0	1	vcp|mw|pw	vcp	RĀJAN|WILS|ŚKDR
18958	kfzRaskanDa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	AK|ŚKDR
18959	kfzRasvasar		pwg-unique	0		1	0	0	pw		H
18960	kfzRAguru		text-attested	1		1	0	2	vcp|skd|mw|ap|pw	vcp	RĀJAN|TRIK|ŚKDR
18961	kfzRAcala		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚKDR
18965	kfzRAYjanI		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
18969	kfzRAnanda		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	COLEBR|Verz
18970	kfzRABA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
18971	kfzRAmiza		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H
18974	kfzRArcis		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	ŚKDR
18975	kfzRArjaka		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18976	kfzRAlaMkAra		dict-lexical	0		0	0	0	mw		COLEBR
18977	kfzRAlu		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18978	kfzRAvAsa		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H
18979	kfzRikA		text-attested	1		0	0	3	vcp|skd|mw|ap90|ap|abch	skd|vcp	AK|H
18983	kfzRekzu		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
18984	kfzReya		text-attested	1		1	0	0	mw|pw		Verz
18987	kfzRodumbarikA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
18988	kfzRopanizad		text-attested	1		1	0	0	mw|pw		COLEBR
18994	kxptakIla		kosa-corroborated	0		0	0	1	vcp	vcp	HĀR|TRIK
18995	kxptaDUpa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	JAṬĀDH|ŚKDR
18997	kxptika		kosa-corroborated	0		1	0	2	armh|vcp|mw|ap90|ap|pw	armh|vcp	HALĀY|ŚKDR
19000	kekara		text-attested	1		1	1	2	vcp|mw|ap90|ap|pw|abch	vcp	AK|H|VYUTP
19001	kekala		text-attested	1		1	0	0	mw|pw		WILS
19003	kekAvala		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAC|ŚKDR
19006	kekeyI		kosa-corroborated	0		1	0	1	skd|mw|pw		ŚABDAR|ŚKDR
19008	keRikA		kosa-corroborated	0		1	0	4	armh|vcp|skd|mw|ap90|ap|pw|abch	armh|skd|vcp	H
19017	ketugraha		dict-lexical	0		1	0	0	mw|pw		TRIK
19018	ketutArA		text-attested	1		1	0	0	mw|ap|pw		WILS
19020	ketuBa		dict-lexical	0		1	0	0	mw|pw		ŚABDAM|ŚKDR
19025	keturatna		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19028	kedara		kosa-corroborated	0		1	0	1	vcp|mw|ap90|ap|pw	vcp	AK|ŚABDAR|ŚKDR
19031	kedArakawukA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
19032	kedAraKaRqa		text-attested	1		1	0	1	vcp|mw|pw	vcp	WILS
19033	kedAraja		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19035	kedAraBawwa		dict-lexical	0		1	0	0	mw|pw		COLEBR|Verz
19037	kenatI		kosa-corroborated	0		1	0	1	vcp|mw|ap90|ap|pw	vcp	TRIK|WILS|ŚKDR
19039	kenAra		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	H|MED
19041	kenipAta		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	AK|H|ŚABDAR|ŚKDR
19042	kenezitopanizad		text-attested	1		1	0	0	mw|pw		COLEBR|Ind
19045	kendra		text-attested	1		1	1	1	vcp|mw|pw	vcp	COLEBR|Ind|Verz|WILS|ŚKDR
19049	kemadruma		text-attested	1		1	1	1	vcp|mw|pw	vcp	COLEBR|Ind
19050	kemuka		text-attested	1		1	0	1	vcp|mw|pw	vcp	RATNAM|ŚKDR
19052	keyUraka		text-attested	1		1	0	0	mw|pw		Z
19060	kela		text-attested	1	bhs	1	0	2	vcp|skd|mw|bhs|pw	skd|vcp	VYUTP
19061	kelaka		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
19064	kelika		text-attested	1		1	0	1	vcp|mw|pw	vcp	RĀJAN|WILS|ŚKDR
19065	kelikalA		text-attested	1		0	0	2	vcp|skd|mw|ap	vcp	WILS|ŚABDAR|ŚKDR
19066	kelikila		text-attested	1		1	1	4	armh|vcp|mw|pw|abch|acsj	acsj|armh|vcp	H|TRIK|WILS|ŚKDR
19067	kelikIrRa		kosa-corroborated	0		1	0	1	mw|pw|abch		H
19068	kelikuYcikA		kosa-corroborated	0		1	0	2	skd|mw|ap|pw|abch	skd	H|TRIK
19069	kelikoza		kosa-corroborated	0		0	0	1	vcp	vcp	ŚABDAR|ŚKDR
19071	kelinAgara		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	JAṬĀDH|ŚKDR
19075	kelimuKa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
19078	kelivfkza		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAR|ŚKDR
19080	keliSuzi		text-attested	1		1	0	1	vcp|mw|pw	vcp	WILS
19081	kelisaciva		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAM|ŚKDR
19086	kelu		text-attested	0	bhs	1	0	0	bhs|pw		VYUTP
19093	kevaladravya		text-attested	1		1	0	1	vcp|mw|pw	vcp	ŚABDAC|ŚKDR
19099	kevikA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ebend|ŚKDR
19104	keSakalApa		text-attested	1		1	1	2	vcp|mw|pw|abch	vcp	AK|H
19108	keSagarBa		text-attested	1		1	0	1	vcp|mw|pw	vcp	WILS
19109	keSagarBaka		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
19111	keSaGna		kosa-corroborated	0		1	0	3	armh|vcp|mw|ap|pw|abch	armh|vcp	H
19113	keSacCid		kosa-corroborated	0		1	0	1	vcp|mw|ap|pw	vcp	ŚABDAM|ŚKDR
19115	keSawa		text-attested	1		1	1	1	vcp|mw|pw	vcp	MED|TRIK|WILS|ŚABDAR|ŚKDR
19118	keSaDft		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	ŚABDAC|ŚKDR
19121	keSaparRI		kosa-corroborated	0		1	0	1	skd|mw|pw		ŚABDAR|ŚKDR
19124	keSaBU		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19126	keSamArjaka		dict-lexical	0		1	0	0	mw|pw		JAṬĀDH|WILS|ŚKDR
19127	keSamArjana		kosa-corroborated	0		1	1	2	armh|mw|pw|abch	armh	H
19128	keSamuzwi		text-attested	1		1	0	0	mw|pw		RĀJAN|ŚKDR
19131	keSaraYjana		text-attested	1		1	0	2	vcp|mw|pw|abch	vcp	H|RĀJAN|ŚKDR
19132	keSarAja		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
19133	keSaruhA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
19134	keSarUpA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
19137	keSavajInandaSarman		dict-lexical	0		1	0	0	mw|pw		Verz
19138	keSavadEvajYa		dict-lexical	0		1	0	0	mw|pw		Ind|Z
19141	keSavamiSra		dict-lexical	0		1	0	0	mw|pw		COLEBR
19143	keSavarDinI		pwg-unique	0		0	0	0			RĀJAN|ŚKDR
19144	keSavasvAmin		text-attested	1		1	0	0	mw|ap|pw		COLEBR
19145	keSavAyuDa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAM|ŚKDR
19146	keSavArka		text-attested	1		1	0	1	vcp|mw|pw	vcp	Ind|Z
19147	keSavAlaya		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
19148	keSavAvAsa		dict-lexical	0		1	0	0	mw|pw		JAṬĀDH|WILS|ŚKDR
19150	keSahantrI		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
19156	keSAri		dict-lexical	0		1	0	0	mw|pw		WILS
19157	keSArukA		dict-lexical	0		0	0	0	mw		H
19158	keSAruhA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
19159	keSArhA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	vcp	RĀJAN|ŚKDR
19166	kesaragrAma		text-attested	1		1	0	0	mw|pw		Verz
19169	kesaravara		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19171	kesarAmla		kosa-corroborated	0		1	0	1	vcp|pw	vcp	JAṬĀDH|RĀJAN|ŚKDR
19173	kesarikA		kosa-corroborated	0		1	0	2	vcp|skd|ap|pw	vcp	RĀJAN|ŚKDR
19175	kehladeva		dict-lexical	0		1	0	0	mw|pw		Verz
19187	kEqarya		text-attested	1		1	0	0	mw|pw		RĀJAN|ŚKDR
19199	kEyawa		text-attested	1		1	0	0	mw|ap|pw		COLEBR|Verz|Z|ebend
19204	kErAwaka		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H
19208	kErAla		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19211	kEla		text-attested	1		1	0	0	mw|pw		Verz
19219	kEvartamusta		dict-lexical	0		1	0	0	mw|pw		AK|ŚABDAR|ŚKDR
19220	kEvartikA		dict-lexical	0		0	0	0	mw		RĀJAN|ŚKDR
19221	kEvartimustaka		dict-lexical	0		1	0	0	mw|pw		AK|ŚKDR
19222	kEvala		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RATNAM|ŚKDR
19223	kEvalaya		pwg-unique	0		0	0	0			Verz
19238	kokaqa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19239	kokadeva		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19246	kokalI		text-attested	1		1	0	0	mw|pw		BURN
19247	kokavAca		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19249	kokAgra		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19251	kokAha		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	H
19253	kokilaka		text-attested	1		1	1	0	mw|pw		COLEBR
19254	kokilanayana		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	AK|ŚKDR
19255	kokilamEtrAvaruRa		dict-lexical	0		1	0	0	mw|pw		Ind
19256	kokilahotra		dict-lexical	0		1	0	0	mw|pw		Ind
19257	kokilAkza		text-attested	1		1	0	2	vcp|mw|pw|nmmb	nmmb|vcp	AK|RATNAM|ŚKDR
19258	kokilAvAsa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19259	kokilekzu		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19260	kokilezwA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
19261	kokilotsava		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19264	koNkawa		dict-lexical	0		1	0	0	mw|pw		COLEBR|WILS|ŚKDR
19268	koNkaRAsuta		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAM|ŚKDR
19271	kojAgara		text-attested	1		1	0	0	mw|pw		HĀR|TRIK|ŚKDR
19272	koYja		dict-lexical	0		1	0	0	mw|pw		H
19274	kowaka		text-attested	1	bhs	1	0	1	vcp|mw|bhs|ap90|ap|pw	vcp	WILS|ŚKDR
19275	kowacakra		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	Verz
19282	kowikarRa		pwg-unique	0		1	0	0	pw		BURN
19284	kowijit		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	skd|vcp	TRIK
19285	kowijyA		text-attested	1		1	1	1	vcp|mw|ap|pw	vcp	WILS
19287	kowipAtra		kosa-corroborated	0		1	0	3	armh|vcp|mw|pw|abch	armh|vcp	H
19290	kowira		kosa-corroborated	0		1	1	1	vcp|mw|pw	vcp	H|MED|TRIK
19291	kowivarza		text-attested	1	bhs	1	1	0	mw|bhs|pw		AK|ŚABDAR|ŚKDR
19295	kowiSrI		kosa-corroborated	0		0	0	1	mw|acph	acph	H
19296	kowIra		text-attested	1		1	0	3	armh|vcp|mw|pw|abch	armh|vcp	H|TRIK|WILS|ŚKDR
19297	kowIvarza		text-attested	1		1	0	1	mw|pw|abch		H|TRIK|ŚABDAR|ŚKDR
19298	kowISa		kosa-corroborated	0		1	0	3	armh|vcp|mw|pw|acsj	acsj|armh|vcp	AK|H|ŚKDR
19300	kowwamallika		pwg-unique	0		1	0	0	pw		BURN
19302	kowwavIpura		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAR|ŚKDR
19303	kowwAra		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	AK|H|HĀR|MED|TRIK|WILS|ŚKDR
19305	koWara		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19306	koWarapuzpI		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RATNAM|RĀJAN|ŚKDR
19307	koqAyana		pwg-unique	0		0	0	0			Verz
19309	koRakuRa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	H
19310	koRavAdin		kosa-corroborated	0		1	0	1	mw|ap|pw|acph	acph	H
19312	koRi		kosa-corroborated	0		1	0	1	vcp|mw|ap90|ap|pw	vcp	AK
19313	koReya		dict-lexical	0		1	0	0	mw|pw		Ind
19314	koRqaBawwa		dict-lexical	0		1	0	0	mw|pw		COLEBR|Verz
19327	kopakrama	1	text-attested	1		1	0	1	vcp|mw|pw	vcp	WILS|ŚKDR
19328	kopakrama	2	text-attested	1		1	0	1	vcp|mw|pw	vcp	AK|ŚKDR
19329	kopajYa		text-attested	1		1	0	0	mw|pw		AK
19331	kopanaka		kosa-corroborated	0		1	0	1	vcp|mw|ap90|ap|pw	vcp	RĀJAN|ŚKDR
19333	kopalatA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
19334	kopavant		pwg-unique	0		0	0	0			COLEBR
19338	koma		dict-lexical	0		1	0	0	mw|pw		AK|ŚKDR
19340	komalaka		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAC|ŚKDR
19341	komAsikA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap|pw	skd|vcp	HĀR|WILS
19347	koraNgI		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	skd|vcp	AK
19349	korita		text-attested	1		1	0	0	mw|ap90|ap|pw		WILS
19350	korpya		dict-lexical	0		1	0	0	mw|pw		Z
19352	kolaka		text-attested	1	bhs	1	0	2	vcp|mw|bhs|pw|abch	vcp	AK|H|JAṬĀDH|RĀJAN|ŚKDR
19353	kolakanda		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19354	kolakarkawikA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
19356	kolakuRa		kosa-corroborated	0		1	0	1	mw|pw|abch		H
19358	koladala		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	AK|TRIK
19359	kolanAsikA		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	HĀR|RĀJAN|ŚKDR
19360	kolapucCa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	HĀR
19361	kolamUla		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	RĀJAN|ŚKDR
19362	kolambaka		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	AK|H
19363	kolavallI		kosa-corroborated	0		1	0	3	vcp|skd|mw|pw|nmmb	nmmb|vcp	AK|RĀJAN|ŚKDR
19364	kolaSimbI		text-attested	1		1	0	1	skd|mw|pw		RĀJAN|ŚKDR
19366	kolAYca		text-attested	1		1	0	1	vcp|mw|pw	vcp	WILS|ŚABDAR|ŚKDR
19369	koli		kosa-corroborated	0		1	0	2	vcp|mw|pw|abch	vcp	AK|H|TRIK
19371	kolita		text-attested	1	bhs	1	0	0	mw|bhs|pw		BURN|VYUTP
19373	koluha		pwg-unique	0		0	0	0			Verz
19376	kolyA		kosa-corroborated	0		1	0	2	vcp|skd|mw|ap90|ap|pw	vcp	RATNAM|ŚKDR
19388	koSacaYcu		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAM|ŚKDR
19389	koSanAyaka		text-attested	1		1	0	0	mw|pw		WILS
19392	koSaPala		text-attested	1		1	1	3	vcp|mw|pw|abch|acph	acph|vcp	AK|H|JAṬĀDH|RATNAM|RĀJAN|ŚKDR
19395	koSalika		kosa-corroborated	0		0	0	1	vcp	vcp	H|ŚKDR
19398	koSavfdDi		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAR|ŚKDR
19400	koSaSAyikA		kosa-corroborated	0		1	0	2	vcp|mw|ap|pw|acph	acph|vcp	JAṬĀDH|ŚKDR
19404	koSANga		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	HĀR|TRIK|WILS|ŚKDR
19406	koSAtakin		dict-lexical	0		1	0	0	mw|ap90|ap|pw		ŚKDR
19409	koSikA		kosa-corroborated	0		0	0	2	armh|mw|ap90|ap|abch	armh	H
19411	koSilA		kosa-corroborated	0		1	0	2	vcp|skd|mw|pw	vcp	RĀJAN|ŚKDR
19415	kozalA		kosa-corroborated	0		0	0	2	vcp|skd	vcp	ŚABDAR|ŚKDR
19418	kozWakowi		dict-lexical	0		1	0	0	mw|pw		H
19419	kozWapAla		text-attested	1		1	0	0	mw|pw		WILS
19425	kozWIpradIpa		dict-lexical	0		1	0	0	mw|pw		ŚKDR
19437	kOkuvAdi		text-attested	1		0	0	0	mw		Verz|ebend
19439	kOkftya		text-attested	0	bhs	1	0	1	vcp|mw|bhs|pw	vcp	MED|TRIK
19442	kOkkuwikandala		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	TRIK
19447	kONka		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAR|ŚKDR
19449	kONkiRa		kosa-corroborated	0		1	0	1	vcp|mw|pw	vcp	ŚABDAR|ŚKDR
