k1	verdict	independent_hits	in_mw	kosa_hits	in_pw_same_source
agrima	text-independent	ap90|ap|gra	1		1
aguRa	text-independent	ap90|ap	1		1
aguruSiMSapA	text-independent	ap		skd	1
agurusAra	pwg-unique				1
ahIndra	mw-only		1		1
ahIraRi	mw-only		1		1
ahaMSreyasa	mw-only		1		1
ahaMcandrasUri	mw-only		1		1
ahaMkAravant	pwg-unique				1
ahaMmati	pwg-unique				1
ahahA	text-independent	ap90|ap	1	skd	1
ahalyeSvaratIrTa	mw-only		1		1
ahamada	mw-only		1		1
ahamagrikA	text-independent	ap	1		1
aharIta	mw-only		1		1
aharbAnDava	mw-only		1		1
aharmaRi	mw-only		1		1
aharmuKa	mw-only		1		1
ahe	text-independent	ap90|ap	1	skd	1
aheru	mw-only		1		1
ahetu	text-independent	ap90|ap	1		1
ahi	text-independent	ap90|ap|gra	1		1
ahiBaya	mw-only		1		1
ahiBayadA	mw-only		1	skd	1
ahiBft	mw-only		1		1
ahiBuj	text-independent	ap	1		1
ahiMsA	text-independent	ap90|ap	1		1
ahiPeRa	pwg-unique				
ahibraDna	mw-only		1		1
ahidEvata	mw-only		1		1
ahidviz	text-independent	ap	1		1
ahikAnta	mw-only		1		1
ahika	pwg-unique				
ahikoza	pwg-unique				
ahilatA	text-independent	ap	1	skd	1
ahilocana	mw-only		1		1
ahilyA	pwg-unique				1
ahimAra	text-independent	ap	1		1
ahimakiraRa	mw-only		1		1
ahimardanI	text-independent	ap	1		1
ahimedaka	mw-only		1		1
ahinAmaBft	text-independent	ap	1		1
ahiputraka	mw-only		1		1
ahirbuDna	pwg-unique				1
ahiripu	text-independent	ap	1		1
ahiwwAna	pwg-unique				1
ahobala	mw-only		1		1
ahobalaSAstrin	pwg-unique				1
ahrIka	text-independent	ap90|ap|bhs	1		1
ajAdanI	text-independent	ap	1	skd	1
ajAgara	text-independent	ap90|ap	1		1
ajAjIva	mw-only		1		1
ajAkfpaRIya	pwg-unique				
ajAneya	text-independent	ap90|ap			1
ajApAlaka	mw-only		1		
ajAtAri	text-independent	ap	1		1
ajEkapAd	text-independent	ap	1		
ajEkapAda	pwg-unique				
ajIkava	mw-only		1		1
ajItapunarvaRya	mw-only		1		1
ajIva	text-independent	ap90|ap	1		1
ajJala	mw-only		1		1
ajJawA	text-independent	ap90|ap	1	skd	1
ajYAnaboDinI	mw-only		1		1
ajYatA	mw-only		1		1
ajaBakza	mw-only		1		1
ajadaRqI	text-independent	ap	1	skd	1
ajadevatA	text-independent	ap	1		1
ajagAva	mw-only		1		1
ajaganDikA	text-independent	ap	1	skd	1
ajaganDinI	text-independent	ap	1	skd	1
ajahA	text-independent	ap90|ap	1	skd	
ajahalliNga	mw-only		1		1
ajahatsvArTA	text-independent	ap90|ap	1	skd	
ajajIvika	mw-only		1		1
ajakarRaka	mw-only		1		1
ajalambana	mw-only		1		1
ajamBa	text-independent	ap	1		1
ajameru	mw-only		1		
ajamodikA	text-independent	ap	1	skd	1
ajanAmaka	mw-only		1		1
ajanya	text-independent	ap90|ap|bhs	1		1
ajapadakadaRqa	text-independent	bhs			
ajavasta	pwg-unique				
ajawA	text-independent	ap90|ap	1	skd	1
ajayagarha	pwg-unique				1
ajayapAla	mw-only		1		1
ajayasIha	pwg-unique				
ajihva	mw-only		1		1
ajinapatrA	text-independent	ap		skd	
ajinapatrI	text-independent	ap			
ajinapatrikA	pwg-unique				
ajinayoni	mw-only		1		1
ajita	text-independent	ap90|ap|bhs	1		1
ajitabalA	text-independent	ap	1		1
ajitakeSakambala	text-independent	bhs	1		1
akAlajalada	pwg-unique				1
akAlajaladodaya	mw-only		1		1
akAlameGodaya	mw-only		1		
akAlasaha	text-independent	ap	1		1
akAlavelA	text-independent	ap	1		1
akIrti	mw-only		1		1
akUrca	text-independent	ap90|ap	1		1
akUvAra	text-independent	ap90|ap	1		
aka	text-independent	ap90|ap	1	skd	1
akaTaha	mw-only		1		1
akaTam	pwg-unique				1
akaca	text-independent	ap90|ap	1		1
akalkA	text-independent	ap	1	skd	1
akalkala	mw-only		1		
akalkana	text-independent	ap90|ap	1		1
akanizWaga	mw-only		1		1
akaqama	mw-only		1		1
akarA	text-independent	ap	1	skd	1
akarRa	text-independent	ap90|ap	1		1
akaraRa	text-independent	ap	1		1
akarkaSa	mw-only		1		1
akartana	text-independent	ap90|ap	1		1
akaruRa	mw-only		1		1
akfzRakarman	text-independent	ap	1		1
akiMcanatA	text-independent	ap90|ap			1
akkA	text-independent	ap90|ap	1	skd	1
aklikA	text-independent	ap90|ap	1	skd	1
akrAnta	text-independent	ap	1		1
akrUreSvaratIrTa	pwg-unique				1
akrama	text-independent	ap90|ap	1		1
akri	pwg-unique				
akula	text-independent	ap90|ap	1		1
akupya	mw-only		1		1
akzAgrakIla	mw-only		1		1
akzAgrakIlaka	mw-only		1		1
akzAnti	mw-only		1		1
akzIka	text-independent	ap90|ap	1		
akzIva	text-independent	ap90|ap			
akzRa	text-independent	ap90|ap	1		1
akza	text-independent	gra	1	skd	1
akzaDUrta	mw-only		1		1
akzaDUrtila	mw-only		1		1
akzaDara	mw-only		1		1
akzacaraRa	mw-only		1		1
akzadarSaka	mw-only		1		1
akzadevin	text-independent	ap	1		1
akzadfS	text-independent	ap	1		1
akzaja	mw-only		1		1
akzamA	text-independent	ap	1	skd	1
akzamAlA	text-independent	ap	1	skd	1
akzapAd	pwg-unique				
akzapAwaka	mw-only		1		1
akzapIqA	text-independent	ap	1	skd	
akzapiRqa	pwg-unique				1
akzaracCandas	text-independent	ap			1
akzaracaRa	mw-only		1		1
akzaracaYcu	mw-only		1		1
akzaracuYcu	mw-only		1		1
akzarajIvaka	mw-only		1		1
akzarajIvika	mw-only		1		1
akzarajIvin	mw-only		1		1
akzarajananI	text-independent	ap	1	skd	1
akzaramAlikA	pwg-unique				1
akzaramuKa	mw-only		1		1
akzaramuzwikA	text-independent	ap	1		1
akzaranyAsa	mw-only		1		1
akzarasaMsTAna	mw-only		1		1
akzaratUlikA	text-independent	ap	1	skd	1
akzaravarjita	text-independent	ap			1
akzaravyakti	pwg-unique				1
akzarya	text-independent	ap90|ap	1		1
akzasUtra	mw-only		1		1
akzavAwa	mw-only		1		1
akzayasena	pwg-unique				1
akzayatftIyA	text-independent	ap	1	skd	1
akzayyanavamI	text-independent	ap	1		1
akzi	text-independent	ap90|ap|gra	1	skd	1
akziBezaja	mw-only		1		1
akzigata	text-independent	ap	1		1
akzigocara	pwg-unique				
akzikUwaka	mw-only		1		
akzika	mw-only		1		1
akziloman	text-independent	ap	1		1
akziva	pwg-unique				
akzivikURita	mw-only		1		1
akzoBa	text-independent	ap90|ap	1		1
akzoBya	text-independent	ap90|ap|bhs	1		1
akzoByatIrTa	mw-only		1		
akzoqa	mw-only		1		1
akzoqaka	mw-only		1		1
akzowa	mw-only		1		1
alAbukeSvara	mw-only		1		1
alAra	mw-only		1		1
alAsya	text-independent	ap90|ap	1		1
alIgarda	mw-only		1		1
alIkamatsya	text-independent	ap	1		1
alUkza	text-independent	ap90|ap	1		1
ala	mw-only		1	skd	1
alaMBUzRu	mw-only		1		1
alaMDUma	mw-only		1		1
alaMjIvika	mw-only		1		1
alaMkArAvatAra	pwg-unique				1
alaMkAraSAstra	mw-only		1		1
alaMkAraSeKara	pwg-unique				1
alaMkAracandrikA	text-independent	ap	1		1
alaMkArakOstuBa	mw-only		1		1
alaMkAramAlA	mw-only		1		1
alaMkAramaYjarI	mw-only		1		1
alaMkArasUra	mw-only		1		1
alaMkArasarvasva	mw-only		1		1
alaMkAravftti	pwg-unique				1
alaMkAravimarSinI	pwg-unique				1
alaMkartar	pwg-unique				1
alaMkriyA	text-independent	ap90|ap	1		1
alaMpawa	text-independent	ap90			
alaYjara	mw-only		1		1
alagarDa	mw-only		1		1
alakADipa	mw-only		1		1
alakapraBA	text-independent	ap	1	skd	1
alakapriya	mw-only		1		1
alakzaRa	text-independent	ap90|ap|bhs	1		1
alakzmI	mw-only		1		1
alambuza	mw-only		1		1
alapadma	pwg-unique				1
alapallava	pwg-unique				
alasaka	text-independent	ap90|ap	1		1
alati	mw-only		1		1
alavAla	mw-only		1		1
alavAlaka	mw-only		1		1
aliYjara	mw-only		1		1
alidUrvA	text-independent	ap	1		1
aligarDa	mw-only		1		1
aligarda	mw-only		1		1
alijihvA	text-independent	ap	1	skd	1
alikAtIrTa	pwg-unique				1
alika	text-independent	bhs	1		1
alikulasaMkula	pwg-unique				1
alimaka	mw-only		1		1
alimant	pwg-unique				1
alimbaka	text-independent	ap	1		1
alimodA	text-independent	ap	1	skd	1
alimpaka	text-independent	ap	1		1
alin	text-independent	ap90|ap	1		1
alindaka	mw-only		1		1
alipaka	mw-only		1		1
aliparRI	text-independent	ap	1	skd	1
alipatrikA	text-independent	ap		skd	
alipriya	text-independent	ap	1		1
allAqa	pwg-unique				1
allama	pwg-unique				1
alolA	mw-only		1		
alpAmbutIrTa	mw-only		1		1
alpaSaHpaNkti	mw-only		1		1
alpaganDa	text-independent	ap	1		1
alpaka	text-independent	ap90|ap	1		1
alpakaRWa	mw-only		1		1
alpakeSI	text-independent	ap	1	skd	1
alpamAriza	mw-only		1		1
alpapadma	mw-only		1		1
alpapatra	pwg-unique				
alpapramARaka	text-independent	ap	1		1
alpasAra	text-independent	ap	1		1
alpasaras	text-independent	ap	1		
alpasarvatoBadramaRqala	pwg-unique				1
alpeSAKya	text-independent	ap|bhs	1		1
alu	mw-only		1		1
am	text-independent	ap90|ap|gra	1	skd	1
amAMsa	text-independent	ap90|ap	1		1
amAhaka	pwg-unique				1
amAhakeSvaratIrTa	pwg-unique				1
amAmasI	text-independent	ap90|ap	1	skd	1
amAnana	mw-only		1		1
amAnasya	mw-only		1		1
amAnuza	text-independent	ap90|ap|bhs|gra	1		1
amAvAsya	text-independent	ap90|ap	1		1
amAvasI	text-independent	ap90|ap	1	skd	1
amBaHsAra	mw-only		1		1
amBaHsU	mw-only		1		1
amBoDivallaBa	mw-only		1		1
amBoja	text-independent	ap	1		1
amBojinI	text-independent	ap	1	skd	1
amBorASi	mw-only		1		1
amUrtarajas	text-independent	ap	1		1
amUza	pwg-unique				
amaRqa	text-independent	ap	1		1
amalAjJawA	pwg-unique				1
amalAnanda	mw-only		1		1
amalAtaka	mw-only		1		1
amalagarBa	text-independent	bhs	1		1
amalodarI	mw-only		1		1
amanaska	text-independent	ap90|ap	1		1
amanaskalaya	pwg-unique				1
amani	mw-only		1		1
amarAdri	mw-only		1		1
amarUka	pwg-unique				1
amara	text-independent	ap90|ap|bhs	1		1
amaracandra	mw-only		1		1
amaradAru	mw-only		1		1
amaradatta	mw-only		1		1
amaradvija	mw-only		1		1
amaraja	mw-only		1		1
amaraka	pwg-unique				1
amarakaRwaka	mw-only		1		1
amarakoza	mw-only		1		
amaraliNga	pwg-unique				1
amaramAlA	text-independent	ap	1		1
amaramaNgala	pwg-unique				1
amarapuzpa	mw-only		1		1
amarapuzpikA	text-independent	ap	1	skd	
amararatna	mw-only		1		1
amarasarit	text-independent	ap	1		1
amaravallarI	text-independent	ap	1	skd	1
amareSvara	mw-only		1		1
amareSvaratIrTa	mw-only		1		1
amarendramuni	pwg-unique				1
amartyaBuvana	mw-only		1		1
amaru	mw-only		1		1
amarza	text-independent	ap90|ap	1		1
amasa	mw-only		1		1
amata	text-independent	ap90|ap|bhs	1		1
amati	text-independent	ap90|ap|gra	1		1
ambUkar	pwg-unique				
amba	text-independent	ap|gra	1	skd	1
ambaka	mw-only		1		1
ambalagacCanAyakaguru	pwg-unique				
amban	pwg-unique				
ambaranagarI	mw-only		1		1
ambarasTalI	text-independent	ap	1		1
ambariza	pwg-unique				1
ambazWakI	text-independent	ap	1	skd	1
ambazWikA	text-independent	ap	1	skd	1
ambeka	mw-only		1		1
ambikApati	mw-only		1		1
ambikeSvaratIrTa	pwg-unique				1
ambikeya	mw-only		1		1
ambikeyaka	pwg-unique				1
ambla	pwg-unique				1
ambuBft	text-independent	ap	1	skd	1
ambuDi	mw-only		1		1
ambuDisravA	text-independent	ap	1	skd	1
ambuGana	mw-only		1		1
ambuSirIzikA	text-independent	ap	1	skd	1
ambucAmara	mw-only		1		1
ambudAraRya	mw-only		1		1
ambuga	text-independent	ap	1		1
ambuhastinI	pwg-unique				
ambujAnanA	mw-only		1		1
ambujabAnDava	mw-only		1		1
ambujanman	text-independent	ap	1		1
ambukISa	mw-only		1		1
ambukUrma	mw-only		1		1
ambukaRwaka	mw-only		1		1
ambukeSara	mw-only		1		
ambumAtraja	text-independent	ap	1		1
ambupa	text-independent	ap	1		1
ambupatrA	text-independent	ap		skd	
ambuprasAda	mw-only		1		1
ambura	pwg-unique				
ambusarpiRI	text-independent	ap	1	skd	1
ambusecanI	text-independent	ap	1	skd	1
ambutAla	mw-only		1		1
ambutaskara	mw-only		1		1
ambuvAcI	text-independent	ap	1	skd	1
ambuvAsI	text-independent	ap	1	skd	1
ambuvAsinI	text-independent	ap	1	skd	1
ambuvetasa	mw-only		1		1
amfRAla	mw-only		1		1
amftAPala	mw-only		1		1
amftASana	mw-only		1		1
amftAharaRa	mw-only		1		1
amftAhva	mw-only		1		1
amftAnanda	mw-only		1		1
amftAsaNga	mw-only		1		1
amftAy	pwg-unique				1
amftIBU	mw-only		1		
amftIkaraRa	mw-only		1		1
amfta	text-independent	ap90|ap|bhs|gra	1		1
amftaBAzaRa	mw-only		1		1
amftaBuj	text-independent	ap	1		1
amftaDArA	text-independent	ap	1		1
amftaPala	text-independent	bhs	1		1
amftacandasUri	pwg-unique				1
amftadIDiti	mw-only		1		1
amftadyuti	mw-only		1		1
amftagati	mw-only		1		1
amftajawA	text-independent	ap	1	skd	1
amftakumBa	pwg-unique				1
amftamatI	pwg-unique				
amftanAdopanizad	text-independent	ap	1		1
amftapuwa	pwg-unique				1
amftasAraja	mw-only		1		1
amftasU	mw-only		1		1
amftasaMBavA	pwg-unique				
amftasodara	mw-only		1		1
amftasravA	text-independent	ap	1	skd	1
amftataraMgiRI	pwg-unique				1
amftavallI	mw-only		1	skd	1
amftavarDana	mw-only		1		1
amftavindUpanizad	mw-only		1		
amftayoga	mw-only		1		1
amfteSa	mw-only		1		1
amfteSvaraliNga	pwg-unique				
amftodBava	mw-only		1		1
amftotpanna	mw-only		1		1
amiSra	text-independent	ap90|ap	1		1
amilAtaka	mw-only		1		1
amitAyus	text-independent	bhs	1		1
amitagati	mw-only		1		1
amitapraBava	pwg-unique				1
amitodana	mw-only		1		1
amitra	text-independent	gra	1		1
amitrajit	text-independent	ap	1		1
amiyARa	pwg-unique				
amiza	text-independent	ap90|ap	1		1
amlANkuSa	mw-only		1		1
amlAna	text-independent	ap90|ap	1		1
amlAninI	text-independent	ap	1	skd	1
amlAtaka	pwg-unique				1
amla	text-independent	ap90|ap	1		1
amlaBedana	mw-only		1		1
amlaSAka	mw-only		1		1
amlacUqa	mw-only		1		1
amlacukrikA	text-independent	ap	1		1
amlaharidrA	text-independent	ap	1	skd	1
amlajambIra	mw-only		1		1
amlakARqa	mw-only		1		1
amlaka	mw-only		1		1
amlakeSara	mw-only		1		
amlaloRI	text-independent	ap	1	skd	1
amlaloRikA	text-independent	ap	1	skd	1
amlanAyaka	mw-only		1		1
amlaniSA	text-independent	ap	1	skd	1
amlanimbUka	mw-only		1		1
amlapUra	pwg-unique				1
amlapanasa	mw-only		1		1
amlapatra	pwg-unique				
amlapitta	mw-only		1		1
amlaruhA	text-independent	ap	1	skd	1
amlasAra	mw-only		1		1
amlavAstUka	mw-only		1		1
amlavAwikA	text-independent	ap	1	skd	1
amlavIja	pwg-unique				
amlavallI	text-independent	ap	1	skd	1
amlavatI	kosa-only			skd	1
amlavetasa	mw-only		1		1
amlavfkza	mw-only		1		1
amlikA	text-independent	ap90|ap	1	skd	
amlikAvawaka	pwg-unique				1
amlodgAra	mw-only		1		1
amlowaka	pwg-unique				1
amoGAcArya	mw-only		1		1
amoGAkzI	text-independent	ap	1		1
amoGadarSana	text-independent	bhs	1		1
amoGadarSin	text-independent	ap|bhs	1		1
amoGapASa	mw-only		1		1
amoGasidDa	pwg-unique				
amoGasidDi	text-independent	bhs	1		1
amrAta	mw-only		1		1
amrAtaka	mw-only		1		1
amra	text-independent	ap90|ap	1		1
amuka	text-independent	ap90|ap	1		1
amukta	text-independent	ap90|ap	1		1
amuzyaputra	mw-only		1		1
anASramin	text-independent	ap90|ap	1		1
anATapiRqada	text-independent	bhs	1		1
anATapiRqika	text-independent	bhs	1		1
anATapurI	pwg-unique				1
anAdarAkzepa	mw-only		1		1
anAdara	text-independent	ap90|ap	1		1
anAdaraRa	mw-only		1		1
anAdeSa	pwg-unique				1
anAdimant	pwg-unique				1
anAdivArttA	pwg-unique				1
anAgAmin	text-independent	ap90|ap|bhs	1		1
anAgatArtavA	text-independent	ap	1		1
anAhata	text-independent	ap90|ap	1		1
anAkrAntA	text-independent	ap	1	skd	1
anAmA	text-independent	ap90|ap		skd	1
anAmaka	text-independent	ap90|ap	1		1
anAnata	text-independent	gra	1		1
anArata	text-independent	ap90|ap	1		1
anArta	mw-only		1		1
anAryaja	text-independent	ap	1		1
anAryaka	mw-only		1		1
anAtapa	text-independent	ap90|ap	1		1
anAtmaka	text-independent	ap90|ap	1		1
anAvaraRa	text-independent	bhs			1
anAvartin	text-independent	ap90|ap			1
anAvila	text-independent	ap90|ap	1		1
anAyAsa	text-independent	ap90|ap|bhs	1		1
anDAtamasa	pwg-unique				1
anDUkaBawwa	pwg-unique				1
anDakAri	mw-only		1		1
anDakAsuhfd	text-independent	ap	1	skd	1
anDakaripu	mw-only		1		1
anDamUzikA	text-independent	ap	1	skd	1
anDatAmasa	mw-only		1		1
anDikA	text-independent	ap	1	skd	
anDula	mw-only		1		1
anISa	text-independent	ap90|ap	1		1
anISatva	mw-only		1		1
anIcidarSin	pwg-unique				
anIkasTa	mw-only		1		1
anIkinI	text-independent	ap90|ap	1	skd	1
anUbanDya	text-independent	ap	1		1
anUcAna	text-independent	ap90|ap|gra	1		1
anUdya	text-independent	ap90|ap	1		1
anUnaka	text-independent	bhs	1		1
anUpaja	mw-only		1		1
anUpasiMha	pwg-unique				1
anUpavilAsa	mw-only		1		1
anUrADA	pwg-unique				
anUru	text-independent	ap90|ap	1		1
anUrusAraTi	mw-only		1		1
anUzara	text-independent	ap90|ap	1		1
ana	text-independent	bhs|gra	1	skd	1
anaBraka	text-independent	bhs	1		1
anaDInaka	mw-only		1		1
anaDyakza	text-independent	ap90|ap	1		1
anaGAzwamI	text-independent	ap	1		1
anaMSumatPalA	text-independent	ap90|ap	1	skd	1
anaNgAsuhfd	mw-only		1		1
anaNgaBIma	mw-only		1		1
anaNgaSeKara	mw-only		1		1
anaNgaka	mw-only		1		1
anaNgakrIqA	mw-only		1		1
anaNgapura	pwg-unique				1
anaNgaraNga	mw-only		1		1
anaPA	text-independent	ap90|ap	1		1
anaSvara	text-independent	ap90|ap	1		1
anaYjana	text-independent	ap	1		1
anacCa	text-independent	ap90|ap	1		1
anadya	pwg-unique				
anagAra	text-independent	ap90|ap	1		1
anagArikA	text-independent	ap90|ap|bhs	1		1
anagnika	pwg-unique				1
anahaMkfti	mw-only		1		1
anaka	text-independent	ap90|ap	1		1
anakadunduBa	mw-only		1		1
anakzi	text-independent	ap90|ap	1	skd	1
analAnanda	pwg-unique				
analapraBA	text-independent	ap	1	skd	1
analapriyA	text-independent	ap	1	skd	1
anali	mw-only		1		1
anama	mw-only		1		1
anambara	text-independent	ap	1		1
anamitaMpaca	text-independent	ap90|ap			1
anantASrama	mw-only		1		
anantAnanda	pwg-unique				1
ananta	text-independent	ap|gra	1		1
anantaBawwIya	pwg-unique				1
anantaBawwa	mw-only		1		1
anantaSIrzA	text-independent	ap	1	skd	1
anantaSayana	mw-only		1		1
anantacAritra	text-independent	bhs	1		1
anantacaturdaSI	text-independent	ap	1		1
anantadeva	mw-only		1		1
anantajit	text-independent	ap	1	skd	1
anantamati	text-independent	bhs	1		1
anantanATa	pwg-unique				1
anantanArAyaRa	pwg-unique				1
anantapurI	pwg-unique				1
anantarASi	mw-only		1		1
anantarAma	mw-only		1		1
anantatIrTa	mw-only		1		1
anantatIrTakft	text-independent	ap	1	skd	1
anantatftIyA	text-independent	ap	1		1
anantavIrya	text-independent	bhs	1		1
anantavarman	mw-only		1		1
anantavikramin	mw-only		1		1
anantavrata	mw-only		1		1
ananteSvara	mw-only		1		1
ananyAnuBava	mw-only		1		1
ananyadeva	text-independent	ap|bhs	1		1
ananyagatika	text-independent	ap	1		1
ananyaja	mw-only		1		1
ananyavftti	text-independent	ap	1		1
anapayati	text-independent	ap90|ap	1		1
anaqudvrata	pwg-unique				1
anaqujjihvA	mw-only		1	skd	1
anaqvAhI	mw-only		1	skd	
anarGarAGava	mw-only		1		1
anarTajYa	pwg-unique				1
anarTaka	text-independent	ap90|ap	1		1
anarTatva	mw-only		1		
anarTin	pwg-unique				1
anarakeSvaratIrTa	pwg-unique				1
anarha	text-independent	ap90|ap	1		1
anasTi	mw-only		1		1
anasUyAtIrTa	pwg-unique				1
anasUya	text-independent	ap90|ap	1		1
anavaDAna	text-independent	ap90|ap	1		1
anavaDAnatA	text-independent	ap	1	skd	1
anavaDi	text-independent	ap90|ap	1		1
anavadya	text-independent	ap90|ap|bhs|gra	1		1
anavarArDya	text-independent	ap90|ap	1		1
anavasTAna	text-independent	ap90|ap	1		1
anavasTa	text-independent	ap90|ap	1		1
anavasita	text-independent	ap90|ap	1		1
anavaskara	text-independent	ap90|ap	1		1
anavatapta	text-independent	bhs	1		1
andU	mw-only		1		1
andUka	mw-only		1		1
andikA	text-independent	ap	1	skd	
anduka	mw-only		1		1
andulIsa	pwg-unique				
anekAnta	text-independent	ap	1		1
anekAntavAda	mw-only		1		1
anekAntavAdin	text-independent	ap	1		1
anekArTaDvanimaYjarI	mw-only		1		
anekArTakoza	pwg-unique				
anekArTasaMgraha	mw-only		1		
anekArTasamuccaya	pwg-unique				
anekArTatilaka	pwg-unique				
aneka	text-independent	ap90|ap	1		1
anekaja	text-independent	ap	1		1
anekalocana	mw-only		1		1
anekapa	mw-only		1		1
anekarUpa	text-independent	ap	1		1
anekavarRasamIkaraRa	pwg-unique				1
anekaviDa	text-independent	ap	1		1
aneqa	text-independent	bhs	1		1
aneqamUka	text-independent	ap	1		1
anfRin	text-independent	ap90|ap	1		1
anfta	text-independent	ap90|ap|gra	1		1
anftavAdin	text-independent	ap	1		1
anftika	text-independent	ap	1		1
anibadDa	text-independent	ap90|ap|gra	1		1
anikziptaDUra	mw-only		1		1
anikzu	mw-only		1		1
anilAntaka	mw-only		1		1
anilaGnaka	mw-only		1		1
anilakumAra	mw-only		1		1
anilamBa	text-independent	bhs	1		1
anilaprakfti	text-independent	ap	1		1
anilasaKa	mw-only		1		1
animizAcArya	mw-only		1		1
animizadfS	pwg-unique				1
anindriya	mw-only		1		1
anindya	text-independent	gra	1		1
anirmAlyA	text-independent	ap	1		1
anirudDa	text-independent	ap90|ap|bhs	1		1
anirudDaBAvinI	text-independent	ap	1	skd	1
anirudDapaTa	mw-only		1		1
anivftti	pwg-unique				1
annaMBawwa	pwg-unique				1
annadAkalpa	pwg-unique				1
annadAna	mw-only		1		1
annadAtar	pwg-unique				1
annada	text-independent	ap	1		1
annaganDi	mw-only		1		1
annakozWaka	mw-only		1		1
annapUrRa	text-independent	ap	1		1
annarakzA	text-independent	ap	1		1
annavikAra	mw-only		1		1
annayoni	mw-only		1		1
ano	text-independent	ap90|ap	1	skd	1
anojas	mw-only		1		1
antAkzI	pwg-unique				
antAvaSAyin	text-independent	ap	1		
antAvasAyin	text-independent	ap	1		1
antI	text-independent	ap	1		1
anta	text-independent	ap|bhs|gra	1		1
antaHkaraRapraboDa	pwg-unique				
antaHkfmi	mw-only		1		1
antaHkuwila	text-independent	ap	1		1
antaHpUjA	mw-only		1		1
antaHpurADyakza	mw-only		1		1
antaHpuracara	text-independent	ap	1		1
antaHsAra	text-independent	ap	1		1
antaHsTa	text-independent	ap	1		1
antaHsattvA	text-independent	ap	1		
antaHsveda	mw-only		1		1
antaSayyA	text-independent	ap	1	skd	1
antabala	pwg-unique				1
antakArin	text-independent	ap	1		1
antaka	text-independent	ap|bhs|gra	1		1
antakaraRa	text-independent	ap	1		1
antakfddaSa	pwg-unique				1
antaki	pwg-unique				
antamasTA	mw-only		1		1
antarAlaka	mw-only		1		1
antarApatyA	text-independent	ap	1	skd	1
antarAvedI	text-independent	ap	1		1
antarBUta	text-independent	ap	1		
antarDAnakawa	pwg-unique				1
antarDana	mw-only		1		1
antarIkzajala	kosa-only			skd	1
antarIkzan	pwg-unique				1
antarIya	text-independent	bhs	1		1
antardaDana	mw-only		1		1
antardeha	pwg-unique				1
antardvAra	mw-only		1		1
antargaqu	text-independent	ap	1		1
antarikza	text-independent	bhs|gra	1		1
antarja	text-independent	ap	1		1
antarjaWara	mw-only		1		1
antarlamba	text-independent	ap	1		1
antarmAtfkA	text-independent	ap			1
antarmanas	text-independent	ap	1		1
antarmudra	text-independent	ap	1		1
antarvARi	text-independent	ap	1		1
antarvami	mw-only		1		1
antarveDa	pwg-unique				
antarveSmika	mw-only		1		1
antarvigAhana	mw-only		1		1
antaryAga	mw-only		1		1
antaryAman	pwg-unique				
antaryajana	mw-only		1		1
antaryoga	mw-only		1		1
antasTACandas	pwg-unique				
antatvAzwrI	mw-only		1		1
antavAsin	text-independent	ap|bhs	1		1
antavat	text-independent	ap	1		1
antavipulA	pwg-unique				1
anti	text-independent	ap|gra	1		1
antikASraya	mw-only		1		1
antitama	mw-only		1		1
antizad	mw-only		1		1
antraMDami	mw-only		1		1
antraguRa	text-independent	bhs			1
antravallika	pwg-unique				
antyASramin	text-independent	ap			1
antyaBa	mw-only		1		1
antyaka	mw-only		1		1
antyamUla	mw-only		1		1
antyapada	mw-only		1		1
antyavarRa	mw-only		1		1
antyavipulA	text-independent	ap	1		1
antyezwi	mw-only		1		1
anuBUtiprakASa	mw-only		1		1
anuBUtisvarUpAcArya	mw-only		1		1
anuBavAnanda	pwg-unique				1
anuDAvana	mw-only		1		1
anuSAlva	pwg-unique				1
anuSAya	pwg-unique				1
anuSIlana	mw-only		1		1
anuSara	mw-only		1		1
anuSayAkzepa	mw-only		1		1
anuSayAna	text-independent	ap90|ap	1		
anuboDa	text-independent	bhs	1		1
anuboDya	pwg-unique				1
anubrAhmaRika	text-independent	ap90|ap	1		1
anucCizwa	text-independent	ap90|ap	1		1
anudAra	text-independent	ap90|ap	1		1
anudBawa	text-independent	ap90|ap	1		1
anudarSin	mw-only		1		1
anudruta	text-independent	ap90|ap|bhs	1		1
anugAmin	text-independent	ap90|ap	1		1
anugIti	text-independent	ap90|ap	1		1
anugama	mw-only		1		1
anugata	text-independent	ap90|ap	1		1
anuguRavant	pwg-unique				
anuhAra	mw-only		1	skd	1
anuhAraka	mw-only		1		1
anuhArya	text-independent	ap90|ap	1		1
anujYAkzepa	mw-only		1		1
anujanman	text-independent	ap90|ap	1		1
anukAlam	text-independent	ap	1		1
anukAra	mw-only		1		1
anukArin	text-independent	ap90|ap	1		1
anukUlam	text-independent	ap			
anukUlavant	pwg-unique				1
anukaYcita	pwg-unique				
anukampokti	pwg-unique				1
anukampya	text-independent	ap	1		1
anukaraRa	mw-only		1		1
anukarza	mw-only		1		1
anukarzan	text-independent	ap90|ap	1		1
anukarzin	pwg-unique				1
anukramaRI	text-independent	ap	1		
anukramaRikA	text-independent	ap	1	skd	1
anulApa	mw-only		1		1
anulepana	mw-only		1		1
anumA	text-independent	ap90|ap	1	skd	1
anumAnacintAmaRi	mw-only		1		1
anumAnadIDiti	pwg-unique				1
anumAnamUlawippaRI	pwg-unique				
anumAnamaRidIDiti	mw-only		1		1
